Source	Target	interactionType	pval	qval	cooc_method
MAG-215	MAG-221	copresence	6.056875498927639e-7	5.62488437864751e-6	dist_bray|dist_kullbackleibler
MAG-70	MAG-1	copresence	0.004633332861614825	0.031104543915244528	correl_spearman
MAG-107	MAG-144	copresence	2.3235332513582563e-7	2.2171118810670386e-6	dist_kullbackleibler|dist_bray|correl_pearson
MAG-147	MAG-87	copresence	4.907185768843192e-13	6.429750745339612e-12	dist_bray|dist_kullbackleibler|correl_spearman|correl_pearson
MAG-268	MAG-326	copresence	0	0	dist_kullbackleibler|dist_bray|correl_pearson
MAG-31	MAG-109	copresence	2.6207036540881745e-11	3.143838356631687e-10	dist_kullbackleibler
MAG-215	MAG-219	copresence	2.8889074384919056e-6	2.5720329758653005e-5	dist_bray|dist_kullbackleibler
MAG-229	MAG-184	copresence	3.4638958368304884e-14	4.810966440042345e-13	dist_kullbackleibler|correl_pearson
MAG-31	MAG-108	copresence	2.2119925890962122e-8	2.1944370923573535e-7	dist_bray|dist_kullbackleibler|correl_spearman
MAG-215	MAG-218	copresence	0	0	dist_bray|dist_kullbackleibler|correl_spearman|correl_pearson
MAG-215	MAG-217	copresence	7.935874180020619e-13	1.0205599511343388e-11	correl_spearman|dist_bray|dist_kullbackleibler
MAG-31	MAG-106	copresence	1.1102230246251565e-16	1.6760613294461905e-15	correl_spearman|dist_kullbackleibler|dist_bray
MAG-147	MAG-81	copresence	2.1304737432492615e-4	0.0016499951543132447	correl_pearson|correl_spearman
MAG-215	MAG-216	copresence	5.844214001626824e-13	7.593833162197016e-12	dist_bray|correl_pearson|dist_kullbackleibler|correl_spearman
MAG-192	MAG-133	copresence	0	0	dist_kullbackleibler|correl_pearson|dist_bray
MAG-22	MAG-203	copresence	0	0	dist_kullbackleibler|dist_bray|correl_pearson|correl_spearman
MAG-22	MAG-202	copresence	2.840283563898538e-12	3.5503544548731725e-11	dist_kullbackleibler|correl_spearman
MAG-203	MAG-287	copresence	0	0	correl_pearson|dist_kullbackleibler|dist_bray|correl_spearman
MAG-22	MAG-200	copresence	0	0	correl_pearson|dist_bray|dist_kullbackleibler|correl_spearman
MAG-213	MAG-1	copresence	9.86690868726381e-4	0.0071457913436151575	correl_spearman|correl_pearson
MAG-203	MAG-284	copresence	0	0	correl_spearman|dist_kullbackleibler
MAG-215	MAG-210	copresence	1.05512265591301e-10	1.2189494638551409e-9	dist_kullbackleibler|dist_bray
MAG-288	MAG-239	copresence	8.568067924175082e-5	6.874252185634694e-4	dist_kullbackleibler|correl_spearman|dist_bray
MAG-87	MAG-160	copresence	8.171682219781928e-9	8.331649897820073e-8	correl_spearman|dist_kullbackleibler
MAG-70	MAG-166	copresence	0	0	correl_pearson|dist_kullbackleibler|dist_bray
MAG-324	MAG-199	copresence	0	0	correl_spearman|dist_bray|correl_pearson|dist_kullbackleibler
MAG-357	MAG-318	copresence	0	0	correl_pearson|dist_bray|dist_kullbackleibler
MAG-324	MAG-197	copresence	0	0	correl_pearson|correl_spearman|dist_bray|dist_kullbackleibler
MAG-326	MAG-239	copresence	3.1896707497480747e-13	4.214681223240056e-12	dist_bray|correl_spearman|dist_kullbackleibler
MAG-141	MAG-132	copresence	6.215133568576725e-6	5.410109304123194e-5	correl_pearson|dist_kullbackleibler|dist_bray
