Node	degree	posdegree	negdegree	unknowndegree
MAG-215	13	12	1	0
MAG-221	12	12	0	0
MAG-70	13	13	0	0
MAG-1	14	13	1	0
MAG-107	14	14	0	0
MAG-144	7	7	0	0
MAG-147	32	30	2	0
MAG-87	8	8	0	0
MAG-268	11	11	0	0
MAG-326	12	12	0	0
MAG-31	26	26	0	0
MAG-109	22	22	0	0
MAG-219	19	19	0	0
MAG-229	4	4	0	0
MAG-184	6	6	0	0
MAG-108	27	27	0	0
MAG-218	24	22	2	0
MAG-217	28	27	1	0
MAG-106	13	13	0	0
MAG-81	13	13	0	0
MAG-216	8	7	1	0
MAG-192	1	1	0	0
MAG-133	1	1	0	0
MAG-22	18	18	0	0
MAG-203	23	23	0	0
MAG-202	15	15	0	0
MAG-287	18	18	0	0
MAG-200	7	7	0	0
MAG-213	20	20	0	0
MAG-284	21	21	0	0
MAG-210	11	11	0	0
MAG-288	9	9	0	0
MAG-239	33	33	0	0
MAG-160	11	11	0	0
MAG-166	10	10	0	0
MAG-324	15	13	2	0
MAG-199	14	14	0	0
MAG-357	6	4	2	0
MAG-318	6	6	0	0
MAG-197	22	22	0	0
MAG-141	22	22	0	0
MAG-132	13	13	0	0
MAG-196	19	19	0	0
MAG-233	20	20	0	0
MAG-272	13	13	0	0
MAG-235	21	21	0	0
MAG-198	19	19	0	0
MAG-59	11	11	0	0
MAG-146	11	11	0	0
MAG-356	3	2	1	0
MAG-392	11	4	7	0
MAG-154	20	19	1	0
MAG-111	17	17	0	0
MAG-23	22	22	0	0
MAG-403	18	18	0	0
MAG-7	13	13	0	0
MAG-152	32	32	0	0
MAG-112	23	23	0	0
MAG-53	19	19	0	0
MAG-151	34	34	0	0
MAG-52	13	13	0	0
MAG-321	19	19	0	0
MAG-228	15	15	0	0
MAG-51	18	18	0	0
MAG-50	16	16	0	0
MAG-143	27	25	2	0
MAG-18	6	6	0	0
MAG-130	7	6	1	0
MAG-282	12	12	0	0
MAG-280	18	17	1	0
MAG-157	30	29	1	0
MAG-195	6	6	0	0
MAG-390	5	5	0	0
MAG-374	5	5	0	0
MAG-373	5	5	0	0
MAG-182	7	2	5	0
MAG-286	8	4	4	0
MAG-224	15	15	0	0
MAG-30	8	8	0	0
MAG-96	14	14	0	0
MAG-188	18	17	1	0
MAG-345	5	5	0	0
MAG-352	4	4	0	0
MAG-181	11	3	8	0
MAG-180	19	19	0	0
MAG-138	19	18	1	0
MAG-43	12	12	0	0
MAG-208	12	11	1	0
MAG-378	15	15	0	0
MAG-73	6	6	0	0
MAG-136	26	26	0	0
MAG-275	16	16	0	0
MAG-349	5	5	0	0
MAG-342	5	5	0	0
MAG-66	15	14	1	0
MAG-383	9	9	0	0
MAG-343	3	3	0	0
MAG-114	20	20	0	0
MAG-159	11	11	0	0
MAG-145	21	21	0	0
MAG-311	13	13	0	0
MAG-79	2	1	1	0
MAG-330	4	1	3	0
MAG-116	9	9	0	0
MAG-115	13	13	0	0
MAG-340	5	5	0	0
MAG-13	11	11	0	0
MAG-183	4	3	1	0
MAG-384	13	13	0	0
MAG-168	3	3	0	0
MAG-170	4	4	0	0
MAG-158	12	12	0	0
MAG-178	5	5	0	0
MAG-347	5	5	0	0
MAG-40	6	6	0	0
MAG-262	11	11	0	0
MAG-102	8	7	1	0
MAG-214	18	18	0	0
MAG-12	10	10	0	0
MAG-212	12	12	0	0
MAG-367	1	1	0	0
MAG-341	1	1	0	0
MAG-123	8	7	1	0
MAG-121	7	7	0	0
MAG-206	8	8	0	0
MAG-185	7	6	1	0
MAG-3	14	13	1	0
MAG-139	9	8	1	0
MAG-317	1	1	0	0
MAG-29	2	2	0	0
MAG-110	3	3	0	0
MAG-179	17	17	0	0
MAG-149	21	21	0	0
MAG-124	21	21	0	0
MAG-68	7	7	0	0
MAG-190	6	3	3	0
MAG-194	3	3	0	0
MAG-379	5	5	0	0
MAG-156	11	11	0	0
MAG-381	3	3	0	0
MAG-56	20	20	0	0
MAG-120	7	7	0	0
MAG-28	7	7	0	0
MAG-104	4	4	0	0
MAG-150	13	13	0	0
MAG-172	5	5	0	0
MAG-249	10	10	0	0
MAG-344	3	1	2	0
MAG-134	3	3	0	0
MAG-278	1	1	0	0
MAG-227	4	4	0	0
MAG-327	10	10	0	0
MAG-153	5	5	0	0
MAG-316	2	2	0	0
MAG-238	1	1	0	0
MAG-256	1	1	0	0
MAG-83	1	1	0	0
MAG-332	7	7	0	0
MAG-241	1	0	1	0
MAG-118	5	5	0	0
MAG-230	5	5	0	0
MAG-259	1	1	0	0
MAG-222	3	3	0	0
MAG-363	3	3	0	0
MAG-35	2	2	0	0
MAG-176	1	1	0	0
MAG-348	2	2	0	0
MAG-350	2	1	1	0
MAG-17	1	1	0	0
MAG-308	1	0	1	0
MAG-193	1	1	0	0
MAG-369	2	2	0	0
MAG-370	2	2	0	0
MAG-103	3	3	0	0
MAG-186	1	1	0	0
MAG-15	1	1	0	0
MAG-331	1	0	1	0
MAG-211	6	6	0	0
MAG-69	1	1	0	0
MAG-207	1	1	0	0
MAG-385	1	1	0	0
