Source	Target	shared name	Overlap_size	similarity_coefficient	link	Type
2TQP8	GO:0006414	2TQP8 with GO:0006414	19	0.431912568	1	Geneset_Overlap
K00239	1MU5M	K00239 with 1MU5M	29	0.926470588	1	Geneset_Overlap
COG4993	GO:0009055	COG4993 with GO:0009055	1	0.016671272	1	Geneset_Overlap
COG4774	1MV0X	COG4774 with 1MV0X	21	0.903846154	1	Geneset_Overlap
GO:0008940	1MW9S	GO:0008940 with 1MW9S	16	0.610939112	1	Geneset_Overlap
1MUCV	GO:0015935	1MUCV with GO:0015935	1	0.020089286	1	Geneset_Overlap
GO:0006396	2VI1P	GO:0006396 with 2VI1P	15	0.692307692	1	Geneset_Overlap
1MUTQ	COG0129	1MUTQ with COG0129	16	0.944444444	1	Geneset_Overlap
2VM27	COG2885	2VM27 with COG2885	31	0.653465347	1	Geneset_Overlap
COG0605	GO:0006801	COG0605 with GO:0006801	20	0.934782609	1	Geneset_Overlap
1MUQX	GO:0030288	1MUQX with GO:0030288	16	0.369408369	1	Geneset_Overlap
GO:0042026	COG0459	GO:0042026 with COG0459	90	0.932692308	1	Geneset_Overlap
2VM8J	1MVIH	2VM8J with 1MVIH	35	0.972972973	1	Geneset_Overlap
K00114	GO:0030288	K00114 with GO:0030288	6	0.2	1	Geneset_Overlap
GO:0051301	COG2885	GO:0051301 with COG2885	16	0.336231884	1	Geneset_Overlap
2VI1P	K00962	2VI1P with K00962	15	0.826086957	1	Geneset_Overlap
GO:0016614	GO:0009055	GO:0016614 with GO:0009055	1	0.018200409	1	Geneset_Overlap
GO:0006396	1MVB9	GO:0006396 with 1MVB9	20	0.756410256	1	Geneset_Overlap
GO:0004784	GO:0006801	GO:0004784 with GO:0006801	23	1	1	Geneset_Overlap
K00370	COG5013	K00370 with COG5013	16	0.891640867	1	Geneset_Overlap
K01689	COG0148	K01689 with COG0148	27	0.982142857	1	Geneset_Overlap
GO:0051539	GO:0008940	GO:0051539 with GO:0008940	20	0.260538642	1	Geneset_Overlap
