name	ontology	NES	pvalue	fdr_qvalue	fwer_qvalue	size	annotation	colour	type
1MUTQ	1MUTQ	1.4747	0.047	0.1852	1	16	Belongs to the IlvD Edd family	overexpressed	Ontology
1MVW2	1MVW2	1.6331	0.0097	0.09	0.9089	15	Destroys radicals which are normally produced within the cells and which are toxic to biological systems	overexpressed	Ontology
2VHM6	2VHM6	-1.756	0.0015	0.0405	0.5484	25	Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily	downexpressed	Ontology
COG1629	COG1629	1.4031	0.0127	0.217	1	110	colicin transmembrane transporter activity	overexpressed	Ontology
1MVW7	1MVW7	1.5972	0.016	0.1004	0.9707	17	serine protein kinase	overexpressed	Ontology
COG0811	COG0811	1.4078	0.0476	0.2169	1	17	peptide transport	overexpressed	Ontology
GO:0004784	GO:0004784	1.8837	3.00E-04	0.052	0.0501	23	superoxide dismutase activity	overexpressed	Ontology
1MV5T	1MV5T	1.499	0.0409	0.1647	0.9997	15	"COG0683 ABC-type branched-chain amino acid transport systems, periplasmic component"	overexpressed	Ontology
1MUKX	1MUKX	-1.5701	0.0068	0.1158	0.9807	40	Belongs to the citrate synthase family	downexpressed	Ontology
COG0542	COG0542	1.5811	0.0101	0.1018	0.9857	29	response to heat	overexpressed	Ontology
K02012	K02012	1.7835	9.00E-04	0.0764	0.2604	18	"afuA, fbpA; iron(III) transport system substrate-binding protein"	overexpressed	Ontology
GO:0005509	GO:0005509	-1.7845	0	0.0316	0.4455	71	calcium ion binding	downexpressed	Ontology
1MUCV	1MUCV	1.5675	0.0101	0.109	0.9932	32	"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome"	overexpressed	Ontology
K02933	K02933	1.3597	0.0965	0.2488	1	18	"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"	overexpressed	Ontology
K00239	K00239	-1.8738	2.00E-04	0.021	0.178	29	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"	downexpressed	Ontology
K01689	K01689	-1.3799	0.0667	0.226	1	27	"ENO, eno; enolase [EC:4.2.1.11]"	downexpressed	Ontology
K00114	K00114	-1.7036	0.0061	0.0563	0.7351	20	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	downexpressed	Ontology
K01687	K01687	1.4402	0.0537	0.2004	1	17	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]	overexpressed	Ontology
GO:0031071	GO:0031071	1.7812	0.0012	0.0529	0.2691	28	cysteine desulfurase activity	overexpressed	Ontology
K15864	K15864	-1.909	5.00E-04	0.0196	0.1143	36	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	downexpressed	Ontology
1RB94	1RB94	-1.5256	0.0333	0.1301	0.9963	16	COG3203 Outer membrane protein (porin)	downexpressed	Ontology
GO:0015562	GO:0015562	1.3562	0.031	0.2499	1	74	efflux transmembrane transporter activity	overexpressed	Ontology
GO:0016639	GO:0016639	1.4626	0.0396	0.1916	1	22	"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor"	overexpressed	Ontology
GO:0009325	GO:0009325	-1.9413	0	0.0183	0.0726	32	nitrate reductase complex	downexpressed	Ontology
COG4993	COG4993	-1.8236	8.00E-04	0.0278	0.311	33	Dehydrogenase	downexpressed	Ontology
GO:0042026	GO:0042026	1.5625	0.0018	0.1098	0.9948	104	protein refolding	overexpressed	Ontology
GO:0006457	GO:0006457	1.4723	0.0011	0.1858	1	180	protein folding	overexpressed	Ontology
1MUEG	1MUEG	1.8454	5.00E-04	0.0348	0.0983	17	"ABC-type Fe3 transport system, periplasmic component"	overexpressed	Ontology
COG0148	COG0148	-1.3842	0.0456	0.2272	1	28	phosphopyruvate hydratase activity	downexpressed	Ontology
COG2326	COG2326	-1.5618	0.0297	0.1165	0.9854	15	polyphosphate kinase activity	downexpressed	Ontology
GO:0044571	GO:0044571	1.7784	0.0012	0.0416	0.2797	28	[2Fe-2S] cluster assembly	overexpressed	Ontology
2VIW1	2VIW1	1.4757	0.022	0.1899	1	40	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions	overexpressed	Ontology
2VQ4W	2VQ4W	1.3925	0.0785	0.2172	1	16	"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center"	overexpressed	Ontology
GO:0051539	GO:0051539	-1.8121	0	0.0298	0.3507	86	"4 iron, 4 sulfur cluster binding"	downexpressed	Ontology
K02886	K02886	1.3986	0.0647	0.2215	1	24	"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"	overexpressed	Ontology
GO:0016625	GO:0016625	-1.8709	0.0021	0.0197	0.1847	17	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor"	downexpressed	Ontology
GO:0016627	GO:0016627	-1.4522	0.0135	0.178	0.9999	60	"oxidoreductase activity, acting on the CH-CH group of donors"	downexpressed	Ontology
GO:0022900	GO:0022900	-1.5815	0.0036	0.1128	0.9742	62	electron transport chain	downexpressed	Ontology
2VI3Q	2VI3Q	1.3842	0.0651	0.2255	1	22	"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome"	overexpressed	Ontology
GO:0046912	GO:0046912	-1.4926	0.012	0.1437	0.9989	53	"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer"	downexpressed	Ontology
1MURR	1MURR	1.5407	0.0024	0.1249	0.9988	74	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions	overexpressed	Ontology
K16090	K16090	1.6478	0.0084	0.0848	0.8652	19	fiu; catecholate siderophore receptor	overexpressed	Ontology
COG0840	COG0840	-1.4218	0.0303	0.2019	1	43	transmembrane signaling receptor activity	downexpressed	Ontology
GO:0004634	GO:0004634	-1.3917	0.0487	0.2239	1	28	phosphopyruvate hydratase activity	downexpressed	Ontology
COG0202	COG0202	1.4528	0.0446	0.1978	1	19	DNA-directed 5'-3' RNA polymerase activity	overexpressed	Ontology
GO:0051301	GO:0051301	1.4945	0.0229	0.1653	0.9998	30	cell division	overexpressed	Ontology
COG2217	COG2217	1.6954	0.0027	0.0691	0.6634	27	Heavy metal translocating P-type atpase	overexpressed	Ontology
GO:0009408	GO:0009408	1.4318	0.0384	0.1999	1	17	response to heat	overexpressed	Ontology
GO:0006812	GO:0006812	1.452	0.011	0.1962	1	80	cation transport	overexpressed	Ontology
K00371	K00371	-1.7231	0.009	0.049	0.6707	16	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"	downexpressed	Ontology
GO:0000162	GO:0000162	1.4512	0.0365	0.1945	1	17	tryptophan biosynthetic process	overexpressed	Ontology
1MUQX	1MUQX	-1.8075	8.00E-04	0.0292	0.3642	33	Dehydrogenase	downexpressed	Ontology
2VHKE	2VHKE	1.4954	0.0406	0.1669	0.9998	15	Heavy metal translocating P-type atpase	overexpressed	Ontology
K00370	K00370	-1.6325	0.0138	0.0893	0.9177	18	"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"	downexpressed	Ontology
K00658	K00658	1.4136	0.0577	0.2102	1	23	"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"	overexpressed	Ontology
1MURH	1MURH	1.441	0.0574	0.2019	1	15	"Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE"	overexpressed	Ontology
GO:0030001	GO:0030001	1.3967	0.042	0.2174	1	28	metal ion transport	overexpressed	Ontology
K03406	K03406	-1.5173	0.0228	0.1347	0.9972	24	mcp; methyl-accepting chemotaxis protein	downexpressed	Ontology
