Source	Target	shared name	Overlap_size	similarity_coefficient	link	Type
1MURX	GO:0004332	1MURX with GO:0004332	20	0.857142857	1	Geneset_Overlap
K00023	1MUEV	K00023 with 1MUEV	41	0.988095238	1	Geneset_Overlap
COG0069	COG0070	COG0069 with COG0070	16	0.921052632	1	Geneset_Overlap
GO:0000015	K01689	GO:0000015 with K01689	27	0.982142857	1	Geneset_Overlap
K01647	GO:0004108	K01647 with GO:0004108	44	1	1	Geneset_Overlap
GO:0006096	1MU1N	GO:0006096 with 1MU1N	23	0.617346939	1	Geneset_Overlap
GO:0019427	1MUF5	GO:0019427 with 1MUF5	47	0.75672956	1	Geneset_Overlap
GO:0008940	COG5013	GO:0008940 with COG5013	16	0.610939112	1	Geneset_Overlap
2VIJF	COG0372	2VIJF with COG0372	30	0.840909091	1	Geneset_Overlap
COG0129	GO:0005975	COG0129 with GO:0005975	1	0.031876138	1	Geneset_Overlap
COG0069	COG0067	COG0069 with COG0067	18	0.973684211	1	Geneset_Overlap
K00024	1MV57	K00024 with 1MV57	24	0.928571429	1	Geneset_Overlap
2VH8R	K00023	2VH8R with K00023	27	0.821428571	1	Geneset_Overlap
GO:0008940	1MW9S	GO:0008940 with 1MW9S	16	0.610939112	1	Geneset_Overlap
K01689	1MU1N	K01689 with 1MU1N	22	0.871118012	1	Geneset_Overlap
COG1392	K07220	COG1392 with K07220	15	0.96875	1	Geneset_Overlap
GO:0003987	GO:0019427	GO:0003987 with GO:0019427	53	1	1	Geneset_Overlap
GO:0042773	GO:0008137	GO:0042773 with GO:0008137	15	0.714285714	1	Geneset_Overlap
1MUKX	K01647	1MUKX with K01647	40	0.954545455	1	Geneset_Overlap
1MU1N	GO:0004634	1MU1N with GO:0004634	23	0.910714286	1	Geneset_Overlap
GO:0009678	2VI3K	GO:0009678 with 2VI3K	17	0.826923077	1	Geneset_Overlap
COG0069	GO:0006537	COG0069 with GO:0006537	19	0.851851852	1	Geneset_Overlap
GO:0004160	GO:0005975	GO:0004160 with GO:0005975	1	0.033543996	1	Geneset_Overlap
COG1879	K10439	COG1879 with K10439	16	0.766666667	1	Geneset_Overlap
K00023	GO:0018454	K00023 with GO:0018454	42	1	1	Geneset_Overlap
1MU7B	COG0070	1MU7B with COG0070	15	0.863486842	1	Geneset_Overlap
COG0191	GO:0004332	COG0191 with GO:0004332	22	0.892857143	1	Geneset_Overlap
K01624	GO:0005975	K01624 with GO:0005975	22	0.604761905	1	Geneset_Overlap
1MU7B	GO:0006537	1MU7B with GO:0006537	18	0.833333333	1	Geneset_Overlap
1MUTQ	GO:0005975	1MUTQ with GO:0005975	1	0.035416667	1	Geneset_Overlap
2VIP3	1MUF5	2VIP3 with 1MUF5	38	0.775362319	1	Geneset_Overlap
GO:0003987	2VIP3	GO:0003987 with 2VIP3	37	0.829434698	1	Geneset_Overlap
1MUTQ	GO:0004160	1MUTQ with GO:0004160	16	0.970588235	1	Geneset_Overlap
GO:0000015	COG0148	GO:0000015 with COG0148	28	1	1	Geneset_Overlap
COG3808	2VI3K	COG3808 with 2VI3K	17	0.84	1	Geneset_Overlap
K00024	GO:0005975	K00024 with GO:0005975	28	0.633333333	1	Geneset_Overlap
COG0069	1MU7B	COG0069 with 1MU7B	18	0.973684211	1	Geneset_Overlap
GO:0016208	2VIP3	GO:0016208 with 2VIP3	37	0.829434698	1	Geneset_Overlap
COG0365	2VIP3	COG0365 with 2VIP3	38	0.746753247	1	Geneset_Overlap
COG0070	GO:0006537	COG0070 with GO:0006537	16	0.796296296	1	Geneset_Overlap
COG0365	GO:0019427	COG0365 with GO:0019427	53	0.844155844	1	Geneset_Overlap
2VIJF	GO:0004108	2VIJF with GO:0004108	30	0.840909091	1	Geneset_Overlap
1MV57	GO:0005975	1MV57 with GO:0005975	24	0.614285714	1	Geneset_Overlap
1MUKX	COG0372	1MUKX with COG0372	40	0.954545455	1	Geneset_Overlap
COG0067	GO:0016638	COG0067 with GO:0016638	18	0.973684211	1	Geneset_Overlap
K01647	COG0372	K01647 with COG0372	44	1	1	Geneset_Overlap
GO:0004332	GO:0005975	GO:0004332 with GO:0005975	22	0.491956242	1	Geneset_Overlap
K01687	COG0129	K01687 with COG0129	17	0.972222222	1	Geneset_Overlap
GO:0016208	GO:0019427	GO:0016208 with GO:0019427	53	1	1	Geneset_Overlap
