name	ontology	NES	pvalue	fdr_qvalue	fwer_qvalue	size	annotation	colour	type
1MUTQ	1MUTQ	1.7848	0.0026	0.2499	0.3653	16	Belongs to the IlvD Edd family	overexpressed	Ontology
GO:0016208	GO:0016208	-1.5512	0.0052	0.1449	0.9966	53	AMP binding	downexpressed	Ontology
GO:0006164	GO:0006164	1.6017	0.0084	0.1968	0.9668	33	purine nucleotide biosynthetic process	overexpressed	Ontology
2VM27	2VM27	-1.687	0.0033	0.0646	0.7202	31	Belongs to the ompA family	downexpressed	Ontology
GO:0008940	GO:0008940	-1.5753	0.0026	0.127	0.9882	56	nitrate reductase activity	downexpressed	Ontology
2VIJF	2VIJF	-1.5231	0.0163	0.1611	0.9989	30	Belongs to the citrate synthase family	downexpressed	Ontology
GO:0042773	GO:0042773	1.5524	0.0348	0.243	0.9937	15	ATP synthesis coupled electron transport	overexpressed	Ontology
GO:0000015	GO:0000015	-1.674	0.0056	0.0618	0.7775	28	phosphopyruvate hydratase complex	downexpressed	Ontology
COG1028	COG1028	-1.7617	2.00E-04	0.06	0.3687	59	Short-chain dehydrogenase reductase Sdr	downexpressed	Ontology
GO:0009678	GO:0009678	-1.4971	0.023	0.1899	0.9999	26	hydrogen-translocating pyrophosphatase activity	downexpressed	Ontology
1MUXX	1MUXX	-1.4371	0.05	0.2339	1	22	"Catalyzes the reversible interconversion of isobutyryl- CoA and n-butyryl-CoA, using radical chemistry. Also exhibits GTPase activity, associated with its G-protein domain (MeaI) that functions as a chaperone that assists cofactor delivery and proper holo-enzyme assembly"	downexpressed	Ontology
1MUKX	1MUKX	-1.7234	0.0014	0.0484	0.5504	40	Belongs to the citrate synthase family	downexpressed	Ontology
COG0069	COG0069	1.7012	0.0106	0.1401	0.7218	19	glutamate synthase activity	overexpressed	Ontology
GO:0004812	GO:0004812	1.6606	7.00E-04	0.1542	0.8608	78	aminoacyl-tRNA ligase activity	overexpressed	Ontology
1MU7B	1MU7B	1.6952	0.0079	0.1247	0.7461	18	glutamate synthase	overexpressed	Ontology
COG0067	COG0067	1.6647	0.0094	0.1588	0.8484	18	glutamate synthase	overexpressed	Ontology
2VH8R	2VH8R	-1.5043	0.0213	0.1836	0.9996	27	Belongs to the short-chain dehydrogenases reductases (SDR) family	downexpressed	Ontology
COG3808	COG3808	-1.4822	0.0293	0.2045	0.9999	25	pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for	downexpressed	Ontology
COG1392	COG1392	-1.6162	0.0126	0.0965	0.9454	16	Protein of unknown function DUF47	downexpressed	Ontology
K01647	K01647	-1.7304	0.0011	0.055	0.5148	44	"CS, gltA; citrate synthase [EC:2.3.3.1]"	downexpressed	Ontology
K01689	K01689	-1.6716	0.0053	0.0606	0.785	27	"ENO, eno; enolase [EC:4.2.1.11]"	downexpressed	Ontology
K01687	K01687	1.7196	0.005	0.2274	0.6447	17	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]	overexpressed	Ontology
GO:0009086	GO:0009086	1.5394	0.0311	0.2476	0.9959	16	methionine biosynthetic process	overexpressed	Ontology
1RB94	1RB94	-1.9152	2.00E-04	0.0102	0.0328	16	COG3203 Outer membrane protein (porin)	downexpressed	Ontology
GO:0016638	GO:0016638	1.6995	0.0057	0.1298	0.7291	19	"oxidoreductase activity, acting on the CH-NH2 group of donors"	overexpressed	Ontology
GO:0016639	GO:0016639	1.5795	0.0164	0.2142	0.9838	22	"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor"	overexpressed	Ontology
