"SUID","EnrichmentMap::Data Set","EnrichmentMap::Overlap_genes","EnrichmentMap::Overlap_size","EnrichmentMap::similarity_coefficient","interaction","name","selected","shared interaction","shared name"
"4003","Cd2CK_egg_go_ko","EKE18052.1|ODU57472.1|OJX70055.1|OPH17454.1|WP_115934849.1|WP_121219054.1|WP_008494540.1|RYE05967.1|SP|P75022.1|EFTU_RHIRD|WP_029312050.1|WP_109453369.1|WP_028957231.1|WP_043949301.1|WP_069444877.1|AQT42897.1|WP_034743456.1|WP_093509984.1|WP_100053551.1|WP_135048775.1","19","0.43191256830601094","Geneset_Overlap","2TQP8 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0006414","false","Geneset_Overlap","2TQP8 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0006414"
"4004","Cd2CK_egg_go_ko","WP_012204345.1|WP_114467052.1|KPK19987.1|PZQ72791.1|WP_058935375.1|PCJ60658.1|WP_026057405.1|WP_089883054.1|WP_126129176.1|WP_026878076.1|OGI62305.1|WP_004253524.1|WP_008059639.1|WP_014237270.1|WP_015766859.1|EXI68687.1|EXI84649.1|WP_028456103.1|KFB68258.1|KFB74359.1|WP_041098684.1|WP_088179091.1|PKO56786.1|PLX76357.1|WP_102247198.1|WP_107492948.1|WP_110524745.1|WP_121241512.1|RTL37410.1","29","0.9264705882352942","Geneset_Overlap","K00239 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MU5M","false","Geneset_Overlap","K00239 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MU5M"
"4005","Cd2CK_egg_go_ko","PKP86951.1","1","0.016671271990420927","Geneset_Overlap","COG4993 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0009055","false","Geneset_Overlap","COG4993 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0009055"
"4006","Cd2CK_egg_go_ko","OHC65946.1|WP_088484363.1|WP_011483958.1|RTL36445.1|WP_013396539.1|AMO25608.1|RTL15944.1|WP_127996013.1|OHC69318.1|WP_072598857.1|WP_084651312.1|WP_099742771.1|TAG79342.1|WP_082007526.1|WP_004374157.1|WP_011286820.1|WP_012585999.1|WP_027457926.1|WP_062352072.1|WP_066886332.1|TEX44246.1","21","0.9038461538461539","Geneset_Overlap","COG4774 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MV0X","false","Geneset_Overlap","COG4774 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MV0X"
"4007","Cd2CK_egg_go_ko","WP_054965449.1|ODS71062.1|WP_012585584.1|OJY87033.1|OGV72118.1|RTL04036.1|WP_028994809.1|WP_056197883.1|ODS95854.1|WP_043820335.1|WP_124220621.1|WP_055423062.1|WP_010463004.1|WP_027457213.1|RTL46920.1|WP_090018893.1","16","0.6109391124871001","Geneset_Overlap","GO:0008940 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MW9S","false","Geneset_Overlap","GO:0008940 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MW9S"
"4008","Cd2CK_egg_go_ko","OYZ55106.1","1","0.020089285714285712","Geneset_Overlap","1MUCV (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0015935","false","Geneset_Overlap","1MUCV (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0015935"
"4009","Cd2CK_egg_go_ko","PZP29908.1|OJX25964.1|KFB77730.1|WP_069040294.1|WP_124539589.1|ODU88478.1|WP_121459553.1|RZL03004.1|ODS97385.1|PIQ12327.1|WP_124855481.1|WP_079433542.1|ODS68942.1|WP_066879881.1|KFB65965.1","15","0.6923076923076923","Geneset_Overlap","GO:0006396 (Geneset_Overlap_Cd2CK_egg_go_ko) 2VI1P","false","Geneset_Overlap","GO:0006396 (Geneset_Overlap_Cd2CK_egg_go_ko) 2VI1P"
"4010","Cd2CK_egg_go_ko","WP_015437464.1|TCW38113.1|WP_035678795.1|WP_117607631.1|RDE50182.1|WP_132249930.1|WP_007680863.1|KFB70734.1|OYY58949.1|WP_004721665.1|WP_126463609.1|WP_002931890.1|WP_011236835.1|WP_050417438.1|WP_066882891.1|OYU48789.1","16","0.9444444444444444","Geneset_Overlap","1MUTQ (Geneset_Overlap_Cd2CK_egg_go_ko) COG0129","false","Geneset_Overlap","1MUTQ (Geneset_Overlap_Cd2CK_egg_go_ko) COG0129"
"4011","Cd2CK_egg_go_ko","WP_004252965.1|WP_012206517.1|WP_019919114.1|WP_026685518.1|KFB73466.1|WP_053419840.1|SBT09970.1|RTL03953.1|WP_011766315.1|WP_131111132.1|WP_132570931.1|WP_008062595.1|WP_028248820.1|WP_047195791.1|SBT05161.1|PKO62809.1|WP_128196787.1|WP_013966642.1|ACV34416.1|WP_004303499.1|EXI89540.1|EXI89542.1|EXI92924.1|KFB66372.1|KFB66374.1|KFB71000.1|KFB75399.1|WP_066883411.1|WP_079434031.1|WP_110524092.1|WP_117609169.1","31","0.6534653465346535","Geneset_Overlap","2VM27 (Geneset_Overlap_Cd2CK_egg_go_ko) COG2885","false","Geneset_Overlap","2VM27 (Geneset_Overlap_Cd2CK_egg_go_ko) COG2885"
"4012","Cd2CK_egg_go_ko","WP_011288938.1|WP_091936163.1|WP_114804109.1|BBG73583.1|KFB77160.1|WP_092615691.1|PKO84220.1|TAF74398.1|WP_105998390.1|WP_129130376.1|TAE62552.1|WP_038361093.1|WP_114278342.1|RPJ48138.1|RTL28259.1|AGB82336.1|WP_056878629.1|WP_119631809.1|WP_055936105.1|OJX20548.1","20","0.9347826086956521","Geneset_Overlap","COG0605 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0006801","false","Geneset_Overlap","COG0605 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0006801"
