"SUID","EnrichmentMap::Data Set","EnrichmentMap::Overlap_genes","EnrichmentMap::Overlap_size","EnrichmentMap::similarity_coefficient","interaction","name","selected","shared interaction","shared name"
"5022","Cr2CK_egg_go_ko","WP_009553167.1|WP_092298750.1|PJI40634.1|WP_113125646.1|WP_117178120.1|WP_119751930.1|WP_133703463.1|WP_137129058.1|WP_011465934.1|WP_119388266.1|WP_119270944.1|KJS19400.1|WP_125404343.1|WP_012202962.1|WP_121583424.1","15","1.0","Geneset_Overlap","K17321 (Geneset_Overlap_Cr2CK_egg_go_ko) 1MV8A","false","Geneset_Overlap","K17321 (Geneset_Overlap_Cr2CK_egg_go_ko) 1MV8A"
"5023","Cr2CK_egg_go_ko","WP_013803090.1|OJX35469.1|WP_083281205.1|EYU06092.1|RIX44646.1|WP_083293141.1|PZQ74733.1|WP_124961768.1|WP_005670933.1|WP_084652092.1|ETK39847.1|WP_084173694.1|WP_102770819.1|WP_136386246.1|PKO35889.1|WP_129572018.1|WP_079436222.1|WP_084019513.1|WP_104801476.1","19","0.8118181818181818","Geneset_Overlap","K01534 (Geneset_Overlap_Cr2CK_egg_go_ko) 1MU08","false","Geneset_Overlap","K01534 (Geneset_Overlap_Cr2CK_egg_go_ko) 1MU08"
"5024","Cr2CK_egg_go_ko","WP_079436965.1|WP_088280307.1|WP_062537947.1|WP_110526395.1|WP_107493691.1|WP_091962975.1|OJX12888.1|WP_022966273.1","8","0.3434343434343434","Geneset_Overlap","GO:0002161 (Geneset_Overlap_Cr2CK_egg_go_ko) GO:0000049","false","Geneset_Overlap","GO:0002161 (Geneset_Overlap_Cr2CK_egg_go_ko) GO:0000049"
"5025","Cr2CK_egg_go_ko","WP_015878143.1|WP_084019513.1|WP_102770819.1|WP_084173694.1|WP_083293141.1|WP_084652092.1|WP_013803090.1|PZR31861.1|RIX44646.1|WP_124961768.1|WP_129572018.1|WP_104801476.1|PWT95088.1|WP_136386246.1|ETK39847.1|WP_005670933.1|WP_083281205.1|RYF24492.1|WP_088179356.1|WP_089056865.1|PZQ74733.1|OJX35469.1|EYU06092.1|WP_013673482.1|WP_079436222.1|PKO35889.1","26","0.6048387096774194","Geneset_Overlap","GO:0000166 (Geneset_Overlap_Cr2CK_egg_go_ko) GO:0019829","false","Geneset_Overlap","GO:0000166 (Geneset_Overlap_Cr2CK_egg_go_ko) GO:0019829"
"5026","Cr2CK_egg_go_ko","WP_009553167.1|WP_092298750.1|PJI40634.1|WP_113125646.1|WP_117178120.1|WP_119751930.1|WP_133703463.1|WP_137129058.1|WP_011465934.1|WP_119388266.1|WP_119270944.1|KJS19400.1|WP_125404343.1|WP_012202962.1|WP_121583424.1","15","0.7027027027027027","Geneset_Overlap","COG1653 (Geneset_Overlap_Cr2CK_egg_go_ko) K17321","false","Geneset_Overlap","COG1653 (Geneset_Overlap_Cr2CK_egg_go_ko) K17321"
"5027","Cr2CK_egg_go_ko","WP_069039958.1|WP_062352370.1|PKO37626.1|WP_106748216.1|WP_079416027.1|WP_011286681.1|KFB72008.1|KMY86703.1|WP_012204423.1|WP_070528534.1|PKO56818.1|WP_058456194.1|WP_121276134.1|WP_110524390.1|WP_121583408.1|WP_124542996.1|WP_028994551.1","17","1.0","Geneset_Overlap","GO:0000413 (Geneset_Overlap_Cr2CK_egg_go_ko) COG0652","false","Geneset_Overlap","GO:0000413 (Geneset_Overlap_Cr2CK_egg_go_ko) COG0652"
"5028","Cr2CK_egg_go_ko","WP_069039958.1|WP_062352370.1|PKO37626.1|WP_106748216.1|WP_079416027.1|WP_011286681.1|KFB72008.1|KMY86703.1|WP_012204423.1|WP_070528534.1|PKO56818.1|WP_058456194.1|WP_121276134.1|WP_110524390.1|WP_121583408.1|WP_124542996.1|WP_028994551.1","17","1.0","Geneset_Overlap","GO:0000413 (Geneset_Overlap_Cr2CK_egg_go_ko) 1R9ZQ","false","Geneset_Overlap","GO:0000413 (Geneset_Overlap_Cr2CK_egg_go_ko) 1R9ZQ"
"5029","Cr2CK_egg_go_ko","WP_106748216.1|WP_110524390.1|WP_011286681.1|WP_012204423.1|WP_028994551.1|KFB72008.1|WP_062352370.1|PKO56818.1|KMY86703.1|WP_069039958.1|WP_070528534.1|PKO37626.1|WP_121276134.1|WP_121583408.1|WP_058456194.1|WP_079416027.1|WP_124542996.1","17","1.0","Geneset_Overlap","1R9ZQ (Geneset_Overlap_Cr2CK_egg_go_ko) COG0652","false","Geneset_Overlap","1R9ZQ (Geneset_Overlap_Cr2CK_egg_go_ko) COG0652"
"5030","Cr2CK_egg_go_ko","WP_084019513.1|WP_102770819.1|WP_084173694.1|WP_083293141.1|WP_084652092.1|WP_013803090.1|PZR31861.1|RIX44646.1|WP_124961768.1|WP_129572018.1|WP_104801476.1|WP_136386246.1|ETK39847.1|WP_005670933.1|WP_083281205.1|RYF24492.1|WP_089056865.1|PZQ74733.1|OJX35469.1|EYU06092.1|WP_079436222.1|PKO35889.1","22","0.5887096774193549","Geneset_Overlap","GO:0000166 (Geneset_Overlap_Cr2CK_egg_go_ko) K01534","false","Geneset_Overlap","GO:0000166 (Geneset_Overlap_Cr2CK_egg_go_ko) K01534"
"5031","Cr2CK_egg_go_ko","WP_079436965.1|WP_088280307.1|CCD40799.1|KFB77884.1|WP_079437052.1|WP_053171628.1|WP_075585271.1|WP_062537947.1|KYP10271.1|WP_110526395.1|WP_107493691.1|SDK69953.1|RTL28737.1|WP_115859473.1|WP_079436935.1|WP_091962975.1|WP_035606034.1|WP_077033477.1|WP_026686701.1|OJX12888.1|WP_022966273.1|PKO36808.1","22","0.5662608695652174","Geneset_Overlap","GO:0002161 (Geneset_Overlap_Cr2CK_egg_go_ko) GO:0000166","false","Geneset_Overlap","GO:0002161 (Geneset_Overlap_Cr2CK_egg_go_ko) GO:0000166"
