Genome	Cd_O	Ni_O	Cr_O	Cd_L_1	Cd_L_2	Cd_L_3	Cd_M_1	Cd_M_2	Cd_M_3	Cd_H_1	Cd_H_2	Cd_H_3	Ni_L_1	Ni_L_2	Ni_L_3	Ni_M_1	Ni_M_2	Ni_M_3	Ni_H_1	Ni_H_2	Ni_H_3	Cr_L_1	Cr_L_2	Cr_L_3	Cr_M_1	Cr_M_2	Cr_M_3	Cr_H_1	Cr_H_2	Cr_H_3	CK_1	CK_2	CK_3
Metal	None	None	None	Cd	Cd	Cd	Cd	Cd	Cd	Cd	Cd	Cd	Ni	Ni	Ni	Ni	Ni	Ni	Ni	Ni	Ni	Cr	Cr	Cr	Cr	Cr	Cr	Cr	Cr	Cr	None	None	None
Pressure	None	None	None	Low	Low	Low	Medium	Medium	Medium	High	High	High	Low	Low	Low	Medium	Medium	Medium	High	High	High	Low	Low	Low	Medium	Medium	Medium	High	High	High	None	None	None
MAG-1	0.285597	0.213269	0.47263	0.153506	0.156013	0.176543	0.096592	0.101401	0.128903	0.049885	0.04817	0.049323	0.063922	0.043129	0.053731	0.055373	0.058943	0.051819	0.016271	0.02	0.014177	2.072229	1.007018	1.032016	6.163492	6.450678	6.503276	6.839563	6.519003	6.701543	0.551315	0.200699	0.132782
MAG-2	0.124644	0.116929	0.143596	0.110438	0.077294	0.086613	0.14836	0.174681	0.181098	0.11191	0.127575	0.123098	0.024999	0.03532	0.018151	0.042526	0.049138	0.059305	0.008817	0.009415	0.013194	6.831391	0.18663	0.191664	3.02002	3.655729	3.639838	2.51996	2.522313	2.559468	0.177333	0.088182	1.45095
MAG-3	1.350092	1.880746	1.382364	0.761068	0.692233	0.719666	0.063014	0.085851	0.080061	0.022512	0.023947	0.019572	0.769219	0.779966	0.760568	0.470123	0.53527	0.509688	0.087973	0.071052	0.084768	21.84865	12.805653	12.768087	11.477187	6.970769	6.68879	2.406604	2.123244	2.074989	1.428471	0.653261	1.939963
MAG-4	0.427609	0.686477	0.334508	1.029498	0.998815	1.010344	0.227952	0.248696	0.270664	0	0	0	0.035642	0.02966	0.028902	0	0	0	0	0	0	5.773513	2.222868	2.184547	2.156455	2.171308	2.113029	0.122813	0.125889	0.132285	0.635486	0.311773	0.294868
MAG-5	0.936319	1.030462	0.758033	0.197128	0.206357	0.206703	0.1658685	0.173289	0.170239	0	0	0	1.778516	1.840868	1.774371	0.568311	0.733442	0.713567	0.117312	0.101012	0.118925	1.973176	3.355506	3.316679	0.704351	0.818366	0.811251	0.088056	0.08184	0.079854	1.042368	0.184104	0.037938
MAG-6	1.470298	1.468928	1.507018	3.787275	3.904753	3.866812	2.230106	2.779308	2.801496	0	0	0	0.454455	0.483036	0.459714	0.982802	1.187444	1.116316	0.378736	0.379169	0.389954	0.103671	0.117788	0.078125	0.123665	0.118157	0.114794	0	0	0	1.318056	2.140719	0.087349
MAG-7	44.566378	104.497807	33.600976	2.861481	3.167099	3.132414	0.219172	0.272022	0.233203	0.032735	0.032455	0.04086	5.078304	5.429444	5.116739	0.607481	0.845994	0.76014	0.081859	0.079918	0.080988	0.175623	0.162385	0.148701	0.178326	0.179215	0.202087	0.034353	0.040598	0.059391	102.168334	10.946864	0.148286
MAG-8	5.66186	4.588269	4.021725	2.516763	2.685966	2.709531	0.476321	0.61561	0.606008	0	0	0	0.227297	0.274876	0.236045	0.634881	0.423629	0.428544	0.020405	0	0.016897	0.058353	0.039764	0.028848	0.012434	0	0.012657	0.009672	0	0.011335	3.564423	5.418281	0.781932
MAG-9	5.06195	5.955886	3.568406	2.738918	2.704121	2.797261	1.416838	1.423153	1.467174	0	0	0	1.896987	2.040431	2.050265	0.036447	0.064578	0.060889	0	0	0	0	0	0	0	0	0	0	0	0	1.656721	1.947354	0.575752
MAG-10	1.922521	3.77319	1.469846	2.239773	2.032327	2.069982	0	0	0	0	0	0	0.588364	0.529561	0.527599	0	0	0	0	0	0	0.267727	0	0	0.150935	0.096617	0.132613	0	0	0	0	1.070675	0
MAG-11	6.094534	8.134993	5.059044	3.168878	2.914268	3.092286	0.289787	0.343023	0.351406	0.059102	0.058406	0.056311	0.707004	0.760482	0.731445	0.037463	0.040322	0.032287	0	0	0	11.75598	7.002763	6.815191	5.506712	4.519273	4.348854	0.673949	0.69482	0.715694	0.925019	4.40304	2.44012
