Phylum	Cd_O_average	Ni_O_average	Cr_O_average	Cd_LP_average	Ni_LP_average	Cr_LP_average	Cd_MP_average	Ni_MP_average	Cr_MP_average	Cd_HP_average	Ni_HP_average	Cr_HP_average	CK_average
Acidobacteria	912	822	1022	790	538	717	921	613	668	471	423	522	997
Actinobacteria	59010	51411	60060	55858	34683	68256	42918	33569	60093	29518	33512	61791	52741
Bacteroidetes	13484	14986	12813	13022	12959	21902	19122	28146	21712	23074	33114	14292	10401
Chloroflexi	629	487	787	585	313	601	644	351	575	401	246	591	808
Cyanobacteria	1598	1568	1585	1383	979	1549	1402	1330	1531	1060	1078	1278	1705
Firmicutes	5108	5174	4811	4194	3110	4833	4481	4730	4792	3856	3850	3710	5079
Gemmatimonadetes	550	474	606	778	321	435	1306	306	401	271	210	388	958
Nitrospirae	11623	13410	15430	13433	9150	9839	9552	12238	17382	5201	10406	9676	4519
Planctomycetes	7540	7492	8024	6247	4763	8659	4940	5937	8575	2475	2564	11421	7778
Proteobacteria	292208	294564	305396	372017	526142	306802	318802	387380	305497	445135	452079	443347	315599
Verrucomicrobia	3121	5366	2789	1407	1445	2236	952	2007	2072	479	471	1500	1306
others	9709	9583	8928	7150	5532	8765	6545	7264	8072	4876	5723	6427	7863
