"SUID","EnrichmentMap::Colouring (Cd2CK_egg_go_ko)","EnrichmentMap::ES (Cd2CK_egg_go_ko)","EnrichmentMap::fdr_qvalue (Cd2CK_egg_go_ko)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (Cd2CK_egg_go_ko)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Cd2CK_egg_go_ko)","EnrichmentMap::pvalue (Cd2CK_egg_go_ko)","name","selected","shared name"
"3830","0.953","0.6527","0.1852","1MUTQ
","1.0","WP_011236835.1|WP_050417438.1|WP_066882891.1|WP_132249930.1|OYU48789.1|OYY58949.1|WP_015437464.1|TCW38113.1|WP_035678795.1|WP_117607631.1|RDE50182.1|WP_007680863.1|KFB70734.1|WP_004721665.1|WP_126463609.1|WP_002931890.1","Belongs to the IlvD Edd family","16","ENR","1MUTQ","1.4747","0.047","1MUTQ","false","1MUTQ"
"3831","0.9903","0.7354","0.09","1MVW2
","0.9089","RPJ48138.1|WP_011288938.1|WP_114804109.1|WP_092615691.1|PKO84220.1|WP_105998390.1|WP_038361093.1|WP_091936163.1|WP_114278342.1|KFB77160.1|RTL28259.1|AGB82336.1|WP_055936105.1|BBG73583.1|WP_119631809.1","Destroys radicals which are normally produced within the cells and which are toxic to biological systems","15","ENR","1MVW2","1.6331","0.0097","1MVW2","false","1MVW2"
"3832","-0.9985","-0.6659","0.0405","2VHM6
","0.5484","WP_058935375.1|WP_015766859.1|EXI68687.1|EXI84649.1|KFB68258.1|KFB74359.1|WP_012204345.1|WP_114467052.1|KPK19987.1|PZQ72791.1|WP_126129176.1|OGI62305.1|WP_004253524.1|WP_008059639.1|WP_014237270.1|WP_028456103.1|WP_041098684.1|WP_088179091.1|PKO56786.1|PLX76357.1|WP_102247198.1|WP_107492948.1|WP_110524745.1|WP_121241512.1|RTL37410.1","Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily","25","ENR","2VHM6","-1.756","0.0015","2VHM6","false","2VHM6"
"3833","0.9873","0.4366","0.217","COG1629
","1.0","WP_056344872.1|WP_072366661.1|TCS85520.1|WP_073141436.1|WP_115832504.1|ADB40222.1|WP_079685822.1|WP_062352081.1|WP_072037608.1|WP_062351404.1|PWU04259.1|WP_090257151.1|WP_058804399.1|WP_094747157.1|WP_083839744.1|OYU74710.1|WP_055943439.1|OJX52186.1|ALH81516.1|WP_058454651.1|PZR29375.1|WP_019599043.1|PZN54939.1|KXK21946.1|PZR36865.1|WP_112749781.1|RAI89304.1|RZL14329.1|TEX44231.1|SFC69922.1|KIF34035.1|PZR27514.1|WP_082793271.1|OJX52738.1|PJE48166.1|WP_111590394.1|WP_088386822.1|WP_062351014.1|WP_039576987.1|WP_088483806.1|PTT90943.1|WP_105998867.1|WP_084019619.1|WP_056197714.1|WP_079433083.1|OQW55563.1|WP_083518364.1|WP_120217521.1|OHD08108.1|WP_075147551.1|WP_115549865.1|WP_123690741.1|WP_124811253.1|OJW52369.1|WP_128201358.1|WP_062358409.1|WP_132577306.1|WP_107877705.1|WP_129776187.1|WP_062357679.1|WP_091798375.1|WP_133365956.1|RTL17674.1|WP_133703579.1|WP_062355857.1|WP_056268488.1|WP_062350427.1|WP_062354211.1|WP_062358567.1|WP_062358568.1|WP_083537981.1|SBV34568.1|OJX49553.1|WP_088483223.1|WP_076390798.1|WP_120217492.1|KYP13835.1|WP_114235654.1|WP_096911432.1|KYP15838.1|WP_105999933.1|WP_120216826.1|WP_058454637.1|WP_062357225.1|WP_088482626.1|RMH34481.1|OHD08245.1|WP_088484334.1|WP_052380870.1|WP_056341595.1|OYW07689.1|WP_056373058.1|TAH03579.1|WP_083733981.1|WP_120217641.1|OHD04670.1|WP_006833718.1|WP_112186924.1|WP_062353236.1|WP_080375957.1|WP_058538903.1|WP_119717977.1|WP_051598756.1|OYU28202.1|WP_115548412.1|WP_013801145.1|WP_079434735.1|WP_056390275.1|WP_093881905.1|WP_062764438.1","colicin transmembrane transporter activity","110","ENR","COG1629","1.4031","0.0127","COG1629","false","COG1629"
"3834","0.984","0.6943","0.1004","1MVW7
","0.9707","WP_135247737.1|OJW50879.1|PKO33943.1|WP_108948782.1|WP_128902407.1|TAL74038.1|WP_010948497.1|RZI44785.1|WP_017508866.1|PLP38239.1|WP_011765804.1|WP_079435047.1|WP_092755324.1|WP_056875887.1|WP_102041370.1|OGU52319.1|WP_109041252.1","serine protein kinase","17","ENR","1MVW7","1.5972","0.016","1MVW7","false","1MVW7"
"3835","0.9324","0.6106","0.2169","COG0811
","1.0","OJW52330.1|ODU07221.1|KXK27170.1|RTL37507.1|PZN51362.1|WP_127122345.1|ABF52527.1|OJV55238.1|RTL38629.1|KYP16158.1|WP_012206422.1|WP_039137169.1|WP_101470658.1|WP_133364638.1|WP_011286880.1|PZQ27409.1|PZO50909.1","peptide transport","17","ENR","COG0811","1.4078","0.0676","COG0811","false","COG0811"
"3836","0.9997","0.7605","0.052","GO:0004784
","0.0501","WP_012205767.1|WP_066886212.1|RIX43500.1|RPJ48138.1|WP_011288938.1|WP_114804109.1|WP_092615691.1|TAF74398.1|PKO84220.1|WP_105998390.1|WP_038361093.1|WP_114278342.1|WP_091936163.1|RTL28259.1|KFB77160.1|AGB82336.1|WP_055936105.1|WP_119631809.1|BBG73583.1|WP_129130376.1|WP_056878629.1|OJX20548.1|TAE62552.1","superoxide dismutase activity","23","ENR","GO:0004784","1.8837","3.0E-4","GO:0004784","false","GO:0004784"
"3837","0.9591","0.6724","0.1647","1MV5T
","0.9997","RTL61734.1|WP_055975921.1|OGA32703.1|WP_096355779.1|WP_012203086.1|OJW49218.1|WP_079434253.1|WP_106749384.1|WP_136959710.1|KFB76662.1|OGW51195.1|WP_004298381.1|WP_106750670.1|WP_011286022.1|ODU14778.1","COG0683 ABC-type branched-chain amino acid transport systems, periplasmic component","15","ENR","1MV5T","1.499","0.0409","1MV5T","false","1MV5T"
"3838","-0.9932","-0.536","0.1158","1MUKX
","0.9807","WP_013215864.1|WP_055037836.1|WP_075187930.1|WP_007866641.1|WP_011158456.1|WP_068082899.1|TAK91950.1|WP_004651294.1|WP_108176835.1|WP_004361350.1|WP_011239598.1|WP_011288588.1|WP_056876738.1|WP_012204342.1|WP_114401430.1|WP_015435441.1|WP_128198914.1|WP_028995009.1|OFZ97010.1|OHC70316.1|WP_090702123.1|PKO90014.1|WP_117609045.1|WP_121241506.1|WP_121457279.1|RTL37413.1|TAH41053.1|TEX44640.1|EXI78438.1|EXI68690.1|EXI79150.1|KFB68261.1|KFB77946.1|OJY14595.1|RZI70655.1|WP_042084243.1|KPK19984.1|OIP08438.1|PJI38023.1|WP_133314182.1","Belongs to the citrate synthase family","40","ENR","1MUKX","-1.5701","0.0068","1MUKX","false","1MUKX"
"3839","0.9899","0.6095","0.1018","COG0542
","0.9857","WP_093253265.1|WP_011633831.1|WP_062188045.1|BBG74039.1|WP_093558235.1|PZP62061.1|OGP08582.1|WP_135671693.1|RFM23946.1|WP_106874290.1|WP_011288455.1|WP_012207006.1|WP_132773508.1|WP_021006548.1|SBW00644.1|RTL42036.1|WP_003052325.1|RZL00001.1|WP_078031681.1|WP_091909339.1|WP_079433358.1|PKO83061.1|WP_012353056.1|WP_121427340.1|WP_010103166.1|RUQ40581.1|WP_091452560.1|WP_035930530.1|SOO28904.1","response to heat","29","ENR","COG0542","1.5811","0.0101","COG0542","false","COG0542"
