genome	tax	AMO	hao	NXR	NAP	NAR	NAS	NIR	ccNIR	ppk1	ppk2	ppx	Ni_MP_aver	Cd_MP_aver	Cr_O_aver	Ni_O_aver	Cd_O_aver	Cr_LP_aver	Ni_LP_aver	Cd_LP_aver	Cd_HP_aver	Ni_HP_aver	Cr_MP_aver	Cr_HP_aver	CK	LDAgroup	LDA_socre	pvalue
MAG-1	p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__;s__				Yes		Yes	Yes	Yes	Yes	Yes	Yes	0.696579	1.026011	1.372634	1.394593	1.232521	184.147485	0.956571	1.177944	0.566939	0.405853	241.881669	146.223753	1.251679	Cr	4.259691608	0.01110643
MAG-10	p__Bacteroidetes;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella;s__									Yes	Yes		0.008015	0.01038	0.016976	0.021725	0.0162045	0.009111	0.016885	0.016245	0.017453	138.052866	0.019948	0.107191	0.00616			-
MAG-100	p__Bacteroidetes;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__									Yes	Yes		0.70777	17.802679	4.572344	2.370036	4.095835	30.062589	20.694496	22.32816	0	0	8.106461	1.366064	4.594974			-
MAG-101	p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9;s__							Yes			Yes		0.08922	0.109941	17.744642	70.161456	35.118432	0.262684	1.441184	0.800461	0.074884	0.03708	0.231717	0.191585	0.242852			-
MAG-102	p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter junii						Yes			Yes	Yes	Yes	1.614763	0.971276	0.088251	2.133416	0.196922	13.922285	7.515954	3.934574	0.050709	0.064503	29.093931	67.143303	17.164935	Cr	3.690928166	0.024748695
MAG-103	p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__		Yes			Yes	Yes	Yes			Yes		0.113395	0.269935	0.283176	0.236629	0.304201	4.604152	0.235148	0.162605	0.051003	0	6.488067	15.866855	0.305905			-
MAG-104	p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__						Yes			Yes	Yes	Yes	0.706329	0.288151	0.503908	1.173293	0.591603	0.200504	0.951207	0.403049	0.787583	155.770446	0.280785	0.310567	0.218156	Ni	3.946496983	0.016608523
MAG-105	p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__Candidatus Accumulibacter;s__				Yes		Yes	Yes		Yes	Yes	Yes	6.486186	15.305924	15.568745	6.644764	10.33709	1.735762	10.902836	32.690446	6.214791	5.155296	1.493928	1.768241	31.270124	Cd	3.747356319	0.03676566
MAG-106	p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b;g__;s__								Yes	Yes	Yes		0.935346	1.963873	3.490664	2.632403	3.988424	3.070165	0.927053	3.295239	0.499836	0.139907	2.489944	2.896538	3.513604			-
MAG-107	p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-5;g__;s__							Yes		Yes	Yes	Yes	8.925519	0.80395	10.836605	4.217649	5.748386	0.097821	6.673171	2.147269	0.294359	3.511938	0.140683	0.120733	0.998135	Ni	3.251923839	0.005038801
