protein	ontology
EXI74690.1	1MU1N
KFB66257.1	1MU1N
KFB68186.1	1MU1N
ODT50015.1	1MU1N
OLC74155.1	1MU1N
RUQ37377.1	1MU1N
TKT73400.1	1MU1N
WP_042422614.1	1MU1N
WP_048674821.1	1MU1N
WP_106748256.1	1MU1N
WP_011285986.1	1MU7B
WP_050417645.1	1MU7B
WP_079434406.1	1MU7B
WP_100265336.1	1MU7B
WP_102245658.1	1MU7B
WP_130459456.1	1MU7B
CDH47611.1	1MUEV
EXI90689.1	1MUEV
KFB74895.1	1MUEV
OHC72288.1	1MUEV
OJX17264.1	1MUEV
PKP68941.1	1MUEV
PZQ52337.1	1MUEV
RPJ44264.1	1MUEV
RTK98005.1	1MUEV
RYF80491.1	1MUEV
TEX48147.1	1MUEV
WP_008121844.1	1MUEV
WP_048670196.1	1MUEV
WP_062590256.1	1MUEV
WP_124219361.1	1MUEV
WP_137098281.1	1MUEV
EXI65852.1	1MUF5
EXI67290.1	1MUF5
EXI89114.1	1MUF5
EXI90485.1	1MUF5
KER84787.1	1MUF5
KFB75248.1	1MUF5
KFB77558.1	1MUF5
OHC63200.1	1MUF5
OYU98291.1	1MUF5
OYX42542.1	1MUF5
RTL47532.1	1MUF5
RYF73834.1	1MUF5
TEX48162.1	1MUF5
WP_011287385.1	1MUF5
WP_011785686.1	1MUF5
WP_016445177.1	1MUF5
WP_038212960.1	1MUF5
WP_056321934.1	1MUF5
WP_056881558.1	1MUF5
WP_083833987.1	1MUF5
WP_107729813.1	1MUF5
WP_113039516.1	1MUF5
WP_127399087.1	1MUF5
WP_130433995.1	1MUF5
WP_133591291.1	1MUF5
EXI79150.1	1MUKX
KFB77946.1	1MUKX
KPK19984.1	1MUKX
OFZ97010.1	1MUKX
PJI38023.1	1MUKX
WP_011158456.1	1MUKX
WP_012204342.1	1MUKX
WP_028995009.1	1MUKX
WP_075187930.1	1MUKX
WP_114401430.1	1MUKX
WP_121241506.1	1MUKX
WP_121457279.1	1MUKX
KFB67736.1	1MURX
SCX09618.1	1MURX
WP_011289321.1	1MURX
WP_056668985.1	1MURX
OYU48789.1	1MUTQ
WP_002931890.1	1MUTQ
WP_011236835.1	1MUTQ
WP_066882891.1	1MUTQ
WP_126463609.1	1MUTQ
WP_132249930.1	1MUTQ
EXI88868.1	1MUXX
KFB77383.1	1MUXX
KFB78396.1	1MUXX
TAL00290.1	1MUXX
WP_011289727.1	1MUXX
WP_021250893.1	1MUXX
WP_027948216.1	1MUXX
WP_028993732.1	1MUXX
WP_035028480.1	1MUXX
WP_110266925.1	1MUXX
EIL97467.1	1MV57
KFB77939.1	1MV57
OJU29200.1	1MV57
PKO83985.1	1MV57
WP_000813006.1	1MV57
WP_028500682.1	1MV57
ODS71062.1	1MW9S
OJY87033.1	1MW9S
RTL04036.1	1MW9S
WP_012585584.1	1MW9S
WP_043820335.1	1MW9S
WP_056197883.1	1MW9S
WP_090018893.1	1MW9S
APG95100.1	1MZ2X
