protein	eggNOG	eggNOG_name	eggNOG_annotation
BAB16757.1	"1MV1N,2VJTA,4ACM70864,COG1344,COG1344"	fliC	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella
custom_2466343_5	"1MUQX,2KKIS06350,2VPG5,COG4993,COG4993"	mxaF	PQQ-like domain
CAI08635.1	"1MV1B,2KV7906389,2VIC9,COG1469,COG1469"	folE2	"Converts GTP to 7,8-dihydroneopterin triphosphate"
AAZ47133.1	"1RFBH,2KVHI06389,2VKB3,COG1596,COG1596"	wza	COG1596 Periplasmic protein involved in polysaccharide export
AAZ98421.1	"1MVM0,2VN9C,COG0674,COG0674,COG1013,COG1013,COG1014,COG1014,COG1145,COG1145"	nifJ	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin
ABB07102.1	"1K273060,1MU2H,2VIHR,COG0493,COG0493"	gltD	glutamate synthase
custom_1339125_66	"1NMPB,2K1P204457,2TS4F,COG0811,COG0811"	exbB	MotA TolQ ExbB proton channel
custom_2051367_70	"1N670,2VHS5,4ABTG0864,COG3317,COG3317"	bamC	Nlpbdapx family lipoprotein
custom_820722_8	"1NHRV,2EJBB,2W382,33D2G"	-	PEP-CTERM motif
CAY85812.1	"1MURR,2JPIQ04441,2TS07,COG0459,COG0459"	groL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
custom_1678487_18	"1MV5Q,2VH2W,4ACC80864,COG1217,COG1217"	typA	GTP-binding protein TypA
CCA94869.1	"1N3PN,2JQA304441,2U2TJ,COG2010,COG2010"	nirS	"COG2010 Cytochrome c, mono- and diheme variants"
custom_896917_3	"1RCW7,2KW2606389,2VPZP,COG2193,COG2193"	bfr	iron-storage protein
EJM75617.1	"1MVCR,1RNMC,COG1049,COG1049"	acnB	Belongs to the aconitase IPM isomerase family
custom_1206307_2	"1MXPF,2KVFP06389,2VHS6,COG0088,COG0088"	rplD	50S ribosomal protein L4
custom_1440054_34	"1MVC0,2TQP8,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
custom_2251287_7	"1MV57,1RMAX,3NIHG,COG0039,COG0039"	mdh	Catalyzes the reversible oxidation of malate to oxaloacetate
custom_2502644_8	"1RH3A,2KWCD06389,2VR2S,COG0335,COG0335"	rplS	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site
custom_1129766_10	"1RA2F,2KW7D06389,2VQC0,COG0221,COG0221"	ppa	Catalyzes the hydrolysis of inorganic pyrophosphate (PPi) forming two phosphate ions
custom_195406_5	"1N7C7,2VXA4,4AFID0864,COG0071,COG0071"	hspC1	Belongs to the small heat shock protein (HSP20) family
WP_003073764.1	"1NUIV,2VHCZ,4A9J40864,COG3696,COG3696"	czcA	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
WP_004180305.1	"1MURR,2VIW1,372Q8003,COG0459,COG0459"	groL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
WP_004251980.1	"1MV0Y,2KUUD06389,2VJ7Z,COG0137,COG0137"	argG	Belongs to the argininosuccinate synthase family. Type 1 subfamily
WP_004252965.1	"1N6EM,2KW2006389,2VM27,COG2885,COG2885"	ompA	Belongs to the ompA family
custom_2411756_3	"1Q8PP,2KUU306389,2VJG5,COG3005,COG3005"	nirB	Ethylbenzene dehydrogenase
custom_2279167_7	"1MVIH,2KVNJ06389,2VM8J,COG4263,COG4263"	nosZ	nitrous oxide reductase
custom_1532563_2	"1MXNV,2KVIK06389,2VKIR,COG2902,COG2902"	gdhB	Bacterial NAD-glutamate dehydrogenase
custom_2522226_20	"1MU2U,2KUQ106389,2VI6G,COG1249,COG1249"	lpdA	"COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes"
WP_004332251.1	"1MX3C,2KV5X06389,2VINZ,COG1274,COG1274"	pckG	"Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle"
custom_1372527_4	"1MUMF,2KVGY06389,2VIZ7,COG0334,COG0334"	gdhA	Belongs to the Glu Leu Phe Val dehydrogenases family
