protein	ontology
EYU06092.1	1MU08
OJX35469.1	1MU08
WP_079436222.1	1MU08
WP_083281205.1	1MU08
WP_084019513.1	1MU08
WP_088179356.1	1MU08
WP_104801476.1	1MU08
KNZ34458.1	1MU1C
OFZ96113.1	1MU1C
OGA63255.1	1MU1C
PCI65220.1	1MU1C
PHQ58449.1	1MU1C
PKO89627.1	1MU1C
WP_005160809.1	1MU1C
WP_035608057.1	1MU1C
WP_079433534.1	1MU1C
WP_088812016.1	1MU1C
WP_094267892.1	1MU1C
WP_107491793.1	1MU1C
WP_119632423.1	1MU1C
WP_125244194.1	1MU1C
WP_133594294.1	1MU1C
OJW50010.1	1MU33
OQW81897.1	1MU33
RTL31940.1	1MU33
WP_012206747.1	1MU33
WP_062354893.1	1MU33
WP_121457190.1	1MU33
EXI68687.1	1MU5M
EXI84649.1	1MU5M
KFB68258.1	1MU5M
KFB74359.1	1MU5M
KFB76906.1	1MU5M
PCJ60658.1	1MU5M
WP_008059639.1	1MU5M
WP_014237270.1	1MU5M
WP_028456103.1	1MU5M
WP_089883054.1	1MU5M
WP_107492948.1	1MU5M
SBV34568.1	1MU9K
WP_039576987.1	1MU9K
WP_056197714.1	1MU9K
WP_056268488.1	1MU9K
WP_062350427.1	1MU9K
WP_062354211.1	1MU9K
WP_062358567.1	1MU9K
WP_062358568.1	1MU9K
WP_082793271.1	1MU9K
WP_083537981.1	1MU9K
WP_105998867.1	1MU9K
WP_120217521.1	1MU9K
WP_129776187.1	1MU9K
OIP11335.1	1MUCV
PJI37961.1	1MUCV
PKO29730.1	1MUCV
TAG83693.1	1MUCV
WP_004343146.1	1MUCV
WP_012202327.1	1MUCV
WP_016453856.1	1MUCV
WP_043946424.1	1MUCV
WP_067758259.1	1MUCV
WP_076604510.1	1MUCV
WP_106748007.1	1MUCV
WP_106825664.1	1MUCV
WP_136555888.1	1MUCV
OGA32853.1	1MUEG
OHC62478.1	1MUEG
PKO58144.1	1MUEG
PTM61126.1	1MUEG
RIX43534.1	1MUEG
WP_011286821.1	1MUEG
WP_027459002.1	1MUEG
WP_066886845.1	1MUEG
CDH47611.1	1MUEV
KFB74895.1	1MUEV
OHC72288.1	1MUEV
OJX17264.1	1MUEV
PKP68941.1	1MUEV
RTK98005.1	1MUEV
RYF80491.1	1MUEV
TAK80989.1	1MUEV
TEX48147.1	1MUEV
WP_004266007.1	1MUEV
WP_014237572.1	1MUEV
WP_034994456.1	1MUEV
EXI68690.1	1MUKX
EXI79150.1	1MUKX
KFB68261.1	1MUKX
KFB77946.1	1MUKX
KPK19984.1	1MUKX
PJI38023.1	1MUKX
TAH41053.1	1MUKX
TAK91950.1	1MUKX
WP_004361350.1	1MUKX
WP_007866641.1	1MUKX
WP_011158456.1	1MUKX
WP_011288588.1	1MUKX
WP_028995009.1	1MUKX
WP_068082899.1	1MUKX
WP_075187930.1	1MUKX
WP_090702123.1	1MUKX
WP_108176835.1	1MUKX
WP_114401430.1	1MUKX
WP_117609045.1	1MUKX
WP_121457279.1	1MUKX
WP_133314182.1	1MUKX
TAD90173.1	1MUQ2
WP_020205948.1	1MUQ2
WP_062358397.1	1MUQ2
WP_062626449.1	1MUQ2
WP_088534965.1	1MUQ2
WP_107494321.1	1MUQ2
WP_129219830.1	1MUQ2
EGK69921.1	1MUQX
PKO86510.1	1MUQX
RTK98152.1	1MUQX
TEX44200.1	1MUQX
WP_002923543.1	1MUQX
WP_008060415.1	1MUQX
WP_009553533.1	1MUQX
WP_018411050.1	1MUQX
WP_019918667.1	1MUQX
WP_020087477.1	1MUQX
WP_027457891.1	1MUQX
WP_066336621.1	1MUQX
WP_079433304.1	1MUQX
WP_083567731.1	1MUQX
WP_088177840.1	1MUQX
WP_108414187.1	1MUQX
WP_110399427.1	1MUQX
WP_114969704.1	1MUQX
BBG74039.1	1MURH
PZP62061.1	1MURH
RTL42036.1	1MURH
WP_010103166.1	1MURH
WP_011288455.1	1MURH
WP_012207006.1	1MURH
WP_012353056.1	1MURH
WP_021006548.1	1MURH
WP_035930530.1	1MURH
WP_062188045.1	1MURH
WP_093558235.1	1MURH
OGA06426.1	1MURR
OGA25275.1	1MURR
PKO45489.1	1MURR
RYD42434.1	1MURR
WP_008115203.1	1MURR
WP_012207458.1	1MURR
WP_013744694.1	1MURR
WP_014074409.1	1MURR
WP_015434519.1	1MURR
WP_027456623.1	1MURR
WP_027473956.1	1MURR
WP_034795833.1	1MURR
WP_038304811.1	1MURR
WP_062352942.1	1MURR
WP_067170571.1	1MURR
WP_102246209.1	1MURR
WP_102648302.1	1MURR
WP_120048763.1	1MURR
WP_121583815.1	1MURR
WP_124649802.1	1MURR
WP_127089458.1	1MURR
WP_127255656.1	1MURR
WP_133857735.1	1MURR
WP_134195739.1	1MURR
WP_137099209.1	1MURR
RDE50182.1	1MUTQ
WP_002931890.1	1MUTQ
WP_004721665.1	1MUTQ
WP_011236835.1	1MUTQ
WP_066882891.1	1MUTQ
WP_132249930.1	1MUTQ
OHC65946.1	1MV0X
RTL15944.1	1MV0X
RTL36445.1	1MV0X
WP_011286820.1	1MV0X
WP_011483958.1	1MV0X
WP_027457926.1	1MV0X
WP_062352072.1	1MV0X
WP_072598857.1	1MV0X
WP_088484363.1	1MV0X
OJW49218.1	1MV5T
WP_004298381.1	1MV5T
WP_011286022.1	1MV5T
WP_079434253.1	1MV5T
WP_106749384.1	1MV5T
