Protein	Original Contig	Protein FDR Confidence: Combined	Master	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	Modifications	Cd_1	Cd_2	Cd_3	Ni_1	Ni_2	Ni_3	Cr_1	Cr_2	Cr_3	CK_1	CK_2	CK_3
custom_2184937_10	custom_2184937_10	High	IsMasterProtein	0	182.03	47	30	100	30	1	349.39	30	0	-	297389	296948	287666	8352	7171	5929	40267	53475	47902	6646	9321	4551
custom_2197598_4	custom_2197598_4	High	IsMasterProtein	0	147.393	45	18	112	4	1	381.14	18	16	-	42968	41048	52011	162665	130487	132686	35360	30479	33477	40199	41197	45560
custom_374984_4	custom_374984_4	High	IsMasterProtein	0	144.42	41	25	104	22	1	328.71	25	3	-	10137	14080	15172	358864	366000	365659	21660	22068	25190	22149	18330	19422
custom_988406_26	custom_988406_26	High	IsMasterProtein	0	141.72	53	22	127	6	1	385.43	22	17	-	64322	67318	66894	15101	23358	15419	183810	184848	174429	489052	508326	471145
custom_494256_24	custom_494256_24	High	IsMasterProtein	0	134.62	43	21	78	21	1	251.78	21	0	-	177909	186184	180093	11527	7561	7088	607061	590532	516480	12772	13505	12381
custom_1191887_12	custom_1191887_12	High	IsMasterProtein	0	129.729	42	21	182	2	1	517.35	21	18	-	444882	430659	445351	334130	328538	321045	163302	162917	167940	281591	297196	307329
RTL29023.1	custom_2044416_1	High	IsMasterProtein	0	126.321	21	25	115	9	1	306.21	25	14	-	46154	50562	51044	118162	119143	137397	10654	18600	25529	27317	27889	24815
custom_2152605_5	custom_2152605_5	High	IsMasterProtein	0	125.396	55	16	130	15	1	465.5	16	1	-	101372	100926	86563	321357	335308	331006	54543	71276	62949	26990	23814	24071
custom_2184937_11	custom_2184937_11	High	IsMasterProtein	0	124.532	33	24	77	24	1	257.25	24	0	-	183961	183106	183538	2762	4313	6692	68547	72696	85135	15199	15634	12474
custom_1476629_8	custom_1476629_8	High	IsMasterProtein	0	122.649	64	16	259	15	1	908.28	16	0	-	211829	165994	192904	17674	21447	22946	15041	12164	11813	936010	945675	966911
