contigs	genomes	go	shared name	Colouring	ES	fdr_qvalue	fwer_qvalue	Genes	GS_DESCR	gs_size	NES	pvalue	Type
"KFB68186.1,KFB66257.1,KFB68186.1,KFB68186.1,WP_048674821.1,KFB68186.1,KFB68186.1,KFB68186.1,KFB66257.1,KFB68186.1"	"MAG-105,MAG-136,MAG-163,MAG-192,MAG-20,MAG-256,MAG-28"	1MU1N	1MU1N	-0.9912	-0.6799	0.0906	0.9307	WP_100378545.1|KFB68186.1|EXI74690.1|EXI86829.1|KFB66257.1|WP_042422614.1|OGS92337.1|OHC67264.1|WP_102041803.1|PKO71921.1|WP_106748256.1|PZP66845.1|TKT73400.1|WP_084055521.1|WP_088344563.1|SPS06403.1|WP_048674821.1|OGW34266.1|RUQ37377.1|RUT95275.1|ODT50015.1|WP_079446987.1|OLC74155.1	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis	23	-1.626	0.0088	Ni
"EXI90689.1,KFB74895.1,KFB74895.1,KFB74895.1,WP_137098281.1,KFB74895.1,RTK98005.1,KFB74895.1"	"MAG-105,MAG-136,MAG-163,MAG-169,MAG-204,MAG-20,MAG-220,MAG-28"	1MUEV	1MUEV	-0.9981	-0.6356	0.0613	0.6592	KFB74895.1|WP_062590256.1|SBT06690.1|WP_088382570.1|PKP68941.1|GCL61065.1|WP_112993160.1|WP_042822737.1|OYU49894.1|WP_129635243.1|WP_004259356.1|WP_004266007.1|WP_066879382.1|WP_069037386.1|OHC72288.1|OJX17264.1|WP_076092920.1|WP_079436675.1|PKO37690.1|TAK80989.1|WP_117608680.1|WP_014237572.1|WP_015436736.1|WP_027458166.1|RPJ44264.1|RTK98005.1|RYF80491.1|TEX48147.1|CDH47611.1|PZQ52337.1|WP_137098281.1|WP_034994456.1|WP_079436674.1|WP_124219361.1|WP_008121844.1|PKO83537.1|WP_105998743.1|WP_108893374.1|WP_024516532.1|EXI90689.1|WP_048670196.1	Acetoacetyl-CoA reductase	41	-1.7007	0.0019	Ni
"EXI89114.1,EXI90485.1,KFB75248.1,KFB77558.1,WP_011287385.1,TEX48162.1,EXI67290.1,WP_011287385.1,EXI67290.1,EXI67290.1,KFB77558.1,KFB77558.1"	"MAG-105,MAG-136,MAG-137,MAG-169,MAG-189,MAG-256,MAG-28"	1MUF5	1MUF5	-0.9986	-0.5442	0.1211	0.9766	WP_113039516.1|EXI80502.1|WP_004356433.1|WP_062308455.1|OYX42542.1|WP_011287385.1|EXI79882.1|WP_027458181.1|EXI89114.1|WP_066879354.1|KFB71744.1|WP_079433904.1|KFB75248.1|WP_094267692.1|WP_117608985.1|WP_121428293.1|RTL28235.1|WP_133591291.1|TEX48162.1|WP_079500942.1|EXI65852.1|WP_106750131.1|EXI67290.1|WP_108176231.1|EXI90485.1|KFB77558.1|WP_015434721.1|WP_016445177.1|CDW92237.1|WP_026687144.1|WP_056321934.1|WP_056881558.1|WP_062353611.1|WP_068805178.1|WP_069037425.1|WP_083833987.1|WP_121456916.1|RTL47532.1|WP_126768911.1|WP_130433995.1|WP_004308966.1|WP_008327298.1|WP_011785686.1|WP_050416931.1|PKO80311.1|SMB26786.1|WP_108420862.1|WP_116533741.1|BBG72102.1|WP_004334373.1|WP_012831206.1|WP_019644776.1|KER84787.1|OHC63200.1|WP_076092653.1|WP_100118974.1|RYF73834.1|WP_133602686.1|CDH44918.1|WP_038212960.1|OYU98291.1|WP_107729813.1|WP_124446715.1|RTL46997.1|WP_127399087.1|WP_048673706.1|WP_108887811.1|OIO78136.1|WP_072427658.1	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA"	69	-1.5905	0.0014	Ni
"EXI79150.1,WP_028995009.1"	"MAG-105,MAG-44"	1MUKX	1MUKX	-0.9986	-0.6453	0.0484	0.5504	WP_013215864.1|WP_055037836.1|WP_075187930.1|WP_007866641.1|WP_011158456.1|WP_068082899.1|TAK91950.1|WP_004651294.1|WP_108176835.1|WP_004361350.1|WP_011239598.1|WP_011288588.1|WP_056876738.1|WP_012204342.1|WP_114401430.1|WP_015435441.1|WP_128198914.1|WP_028995009.1|OFZ97010.1|OHC70316.1|WP_090702123.1|PKO90014.1|WP_117609045.1|WP_121241506.1|WP_121457279.1|RTL37413.1|TAH41053.1|TEX44640.1|EXI78438.1|EXI68690.1|EXI79150.1|KFB68261.1|KFB77946.1|OJY14595.1|RZI70655.1|WP_042084243.1|KPK19984.1|OIP08438.1|PJI38023.1|WP_133314182.1	Belongs to the citrate synthase family	40	-1.7234	0.0014	Ni
"KFB67736.1,WP_011289321.1,KFB67736.1,WP_011289321.1"	"MAG-136,MAG-165,MAG-28,MAG-44"	1MURX	1MURX	-0.9449	-0.6174	0.2357	1	WP_015765413.1|WP_058718401.1|WP_116533100.1|WP_066739413.1|WP_055422581.1|WP_011289321.1|WP_008452502.1|WP_054622132.1|RUQ29426.1|WP_020159118.1|KFB67736.1|WP_048670083.1|WP_056668985.1|WP_116959715.1|WP_088813028.1|TAK62445.1|WP_110256738.1|SCX09618.1|PKO70472.1|RTL28629.1	Aldolase	20	-1.4283	0.0551	Ni
WP_066882891.1	MAG-165	1MUTQ	1MUTQ	0.9974	0.7986	0.2499	0.3653	WP_011236835.1|WP_050417438.1|WP_066882891.1|WP_132249930.1|OYU48789.1|OYY58949.1|WP_015437464.1|TCW38113.1|WP_035678795.1|WP_117607631.1|RDE50182.1|WP_007680863.1|KFB70734.1|WP_004721665.1|WP_126463609.1|WP_002931890.1	Belongs to the IlvD Edd family	16	1.7848	0.0026	Ni
"KFB78396.1,KFB78396.1,KFB77383.1,KFB78396.1,WP_028993732.1,WP_028993732.1,KFB77383.1,KFB77383.1"	"MAG-105,MAG-136,MAG-163,MAG-211,MAG-28"	1MUXX	1MUXX	-0.95	-0.6047	0.2339	1	WP_068417668.1|WP_056342529.1|WP_011237922.1|WP_011289727.1|KFB77383.1|WP_020204933.1|EPZ14081.1|WP_028993732.1|WP_079435329.1|OUR93722.1|TAH40782.1|EXI88868.1|SBT04792.1|KFB78396.1|WP_021250893.1|WP_027948216.1|OGB39869.1|PKO33963.1|WP_103044472.1|WP_110266925.1|WP_035028480.1|TAL00290.1	"Catalyzes the reversible interconversion of isobutyryl- CoA and n-butyryl-CoA, using radical chemistry. Also exhibits GTPase activity, associated with its G-protein domain (MeaI) that functions as a chaperone that assists cofactor delivery and proper holo-enzyme assembly"	22	-1.4371	0.05	Ni
"WP_000813006.1,KFB77939.1,KFB77939.1,KFB77939.1"	"MAG-102,MAG-136,MAG-163,MAG-28"	1MV57	1MV57	-0.9534	-0.599	0.2319	1	KFB77939.1|WP_000813006.1|WP_114695583.1|WP_091935138.1|WP_106747153.1|WP_028500682.1|PKO83985.1|WP_011500960.1|WP_015279261.1|WP_086067986.1|CDH47300.1|WP_067661542.1|EIL97467.1|OJU29200.1|WP_004303349.1|WP_062352354.1|WP_066882616.1|WP_087281662.1|PKO34329.1|WP_110524736.1|GCL66026.1|WP_087660431.1|WP_031408364.1|WP_079418842.1	Catalyzes the reversible oxidation of malate to oxaloacetate	24	-1.4435	0.0466	Ni
"EXI68772.1,WP_027560139.1,EXI68772.1"	"MAG-136,MAG-1,MAG-28"	1MZ2X	1MZ2X	-0.9655	-0.6282	0.2028	0.9999	RUQ39720.1|CFX52907.1|TAG04184.1|EXI68772.1|WP_072397155.1|WP_018648425.1|OIP08621.1|PKO85271.1|PLY14764.1|WP_012207457.1|WP_106749553.1|WP_026687921.1|PZQ23721.1|RIX47554.1|OZA26907.1|BAL08456.1|WP_003503180.1|KPK18211.1|RTL28043.1|WP_027560139.1|APG95100.1|PKO72549.1	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter	22	-1.4804	0.0345	Ni
"EXI89542.1,EXI89542.1,EXI89542.1,KFB75399.1,KFB66372.1,EXI92924.1,ACV34416.1,ACV34416.1"	"MAG-105,MAG-136,MAG-169,MAG-20,MAG-28"	1N6EM	1N6EM	-0.9798	-0.5634	0.2011	0.9999	WP_132570931.1|WP_128196787.1|WP_004252965.1|WP_012206517.1|WP_019919114.1|WP_026685518.1|WP_053419840.1|WP_058817801.1|WP_088442703.1|WP_088472545.1|PKP87007.1|RTL03953.1|WP_011766315.1|KFB73466.1|WP_131111132.1|SBT09970.1|WP_008062595.1|WP_028248820.1|SBT05161.1|WP_047195791.1|ACV34416.1|WP_066767450.1|EXI89540.1|PKO62809.1|EXI89542.1|GAM98908.1|EXI92924.1|WP_133364611.1|KFB66372.1|WP_013966642.1|KFB66374.1|WP_004303499.1|KFB71000.1|KFB75399.1|WP_066883411.1|WP_079434031.1|WP_110524092.1|WP_117609169.1	Belongs to the ompA family	38	-1.4871	0.0202	Ni
