contigs	genomes	go	shared name	Colouring	ES	fdr_qvalue	fwer_qvalue	Genes	GS_DESCR	gs_size	NES	pvalue	Type
EYU06092.1	MAG-154	1MU08	1MU08	0.9886	0.748	0.1993	0.9869	SCZ13807.1|WP_013803090.1|WP_136386246.1|OJX35469.1|WP_083281205.1|WP_015878143.1|RIX44646.1|WP_083293141.1|PZQ74733.1|WP_124961768.1|WP_005670933.1|WP_084652092.1|EYU06092.1|ETK39847.1|WP_084173694.1|WP_129572018.1|WP_102770819.1|WP_104801476.1|WP_088179356.1|PKO35889.1|WP_079436222.1|WP_084019513.1	Heavy metal translocating P-type atpase	22	1.5131	0.0114	Cr
WP_062352072.1	MAG-154	1MV0X	1MV0X	0.9828	0.7418	0.2097	0.9991	WP_084651312.1|WP_099742771.1|TAG79342.1|WP_082007526.1|WP_088484363.1|WP_004374157.1|RTL15944.1|WP_011286820.1|WP_127996013.1|WP_012585999.1|WP_027457926.1|WP_062352072.1|WP_066886332.1|TEX44246.1|OHC65946.1|WP_011483958.1|RTL36445.1|WP_013396539.1|AMO25608.1|OHC69318.1|WP_072598857.1	TonB-dependent siderophore receptor	21	1.4844	0.0172	Cr
WP_009553167.1	MAG-42	1MV8A	1MV8A	0.9857	0.8113	0.2034	0.985	WP_009553167.1|WP_092298750.1|PJI40634.1|WP_113125646.1|WP_117178120.1|WP_119751930.1|WP_133703463.1|WP_137129058.1|WP_011465934.1|WP_119388266.1|WP_119270944.1|KJS19400.1|WP_125404343.1|WP_012202962.1|WP_121583424.1	ABC-type sugar transport system periplasmic component	15	1.5155	0.0143	Cr
"EXI89540.1,EXI89542.1,EXI89542.1,EXI89540.1,KFB75399.1,KFB66372.1,EXI92924.1,ACV34416.1,ACV34416.1"	"MAG-105,MAG-136,MAG-169,MAG-20,MAG-28"	1N6EM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cr
WP_106748216.1	MAG-204	1R9ZQ	1R9ZQ	0.9847	0.7779	0.1909	0.9933	KFB72008.1|WP_106748216.1|WP_110524390.1|WP_011286681.1|WP_012204423.1|WP_028994551.1|WP_062352370.1|PKO56818.1|WP_069039958.1|WP_070528534.1|PKO37626.1|WP_121583408.1|WP_124542996.1|WP_058456194.1|KMY86703.1|WP_121276134.1|WP_079416027.1	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	17	1.5029	0.0153	Cr
"EXI84053.1,WP_121456722.1,WP_121456722.1"	"MAG-105,MAG-165,MAG-211"	1RD4A	1RD4A	0.9942	0.8001	0.2257	0.9121	PKO36180.1|WP_012207710.1|WP_121456722.1|RZA22287.1|TEX48536.1|RIX48780.1|AJP47850.1|WP_102041148.1|WP_004194309.1|WP_055670085.1|KFB71313.1|PZT89269.1|OJW48834.1|RTL26442.1|EXI84053.1|KNZ33274.1|PTT87099.1|WP_111434294.1	Belongs to the universal ribosomal protein uS9 family	18	1.5493	0.0058	Cr
"WP_093509984.1,EKE18052.1,OJX70055.1,EKE18052.1,EKE18052.1"	"MAG-104,MAG-164,MAG-206,MAG-21,MAG-39"	2TQP8	2TQP8	0.9762	0.7137	0.2147	0.9999	WP_028957231.1|WP_043949301.1|WP_069444877.1|AQT42897.1|PAU95980.1|RZO34591.1|RWH43609.1|EKE18052.1|ODU57472.1|OJX70055.1|WP_100053551.1|OPH17454.1|WP_034743456.1|WP_115934849.1|WP_091918820.1|WP_121219054.1|WP_093509984.1|WP_008494540.1|RYE05967.1|RWC56152.1|TJW70054.1|WP_135048775.1|SP|P75022.1|EFTU_RHIRD|WP_029312050.1|WP_109453369.1	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	25	1.47	0.0238	Cr
"EXI89540.1,EXI89542.1,EXI89542.1,EXI89540.1,KFB75399.1,KFB66372.1,EXI92924.1,ACV34416.1,ACV34416.1"	"MAG-105,MAG-136,MAG-169,MAG-20,MAG-28"	2VM27	2VM27	-0.9991	-0.7257	0.2404	0.2702	WP_132570931.1|WP_128196787.1|WP_004252965.1|WP_012206517.1|WP_019919114.1|WP_026685518.1|WP_053419840.1|RTL03953.1|WP_011766315.1|KFB73466.1|WP_131111132.1|SBT09970.1|WP_008062595.1|WP_028248820.1|SBT05161.1|WP_047195791.1|ACV34416.1|EXI89540.1|PKO62809.1|EXI89542.1|EXI92924.1|KFB66372.1|WP_013966642.1|KFB66374.1|WP_004303499.1|KFB71000.1|KFB75399.1|WP_066883411.1|WP_079434031.1|WP_110524092.1|WP_117609169.1	Belongs to the ompA family	31	-1.8393	9.00E-04	Cr
"EYU06092.1,KFB67721.1,KFB67721.1,KFB67721.1,WP_079433326.1,KFB67721.1,KFB67721.1,WP_018410904.1,WP_018410904.1"	"MAG-154,MAG-169,MAG-20,MAG-256,MAG-263,MAG-28,MAG-56"	GO:0000166	GO:0000166	0.9982	0.5789	0.2217	0.9999	PKO36808.1|WP_079437052.1|WP_079435811.1|AJP47391.1|WP_023398858.1|TAH50398.1|WP_079436653.1|TAJ78630.1|WP_124863951.1|WP_114481836.1|WP_027457591.1|BBG72354.1|WP_079435336.1|OGW39046.1|WP_014235783.1|WP_013673482.1|WP_076771892.1|WP_079432882.1|WP_050414481.1|WP_012204833.1|WP_008059120.1|WP_050714765.1|WP_079433546.1|OIP11015.1|WP_062176712.1|WP_089056865.1|BAO81333.1|RYF24492.1|WP_110526395.1|WP_022966273.1|WP_012334624.1|WP_091962975.1|WP_107493691.1|WP_062537947.1|WP_079436965.1|KNZ32721.1|OJX12888.1|WP_014238374.1|RIX44692.1|WP_136220587.1|OGT10716.1|WP_126446303.1|WP_107159794.1|WP_115687782.1|PKO34735.1|WP_121459426.1|KFB77884.1|EXI69803.1|KFB67721.1|EAY62807.1|WP_028995019.1|WP_041099466.1|PKO90048.1|RTL30820.1|WP_011765220.1|WP_079435984.1|SBT07014.1|KFB71335.1|KFB77671.1|EXI65372.1|WP_004084640.1|WP_079436935.1|WP_115859473.1|WP_035606034.1|WP_053171628.1|SDK69953.1|WP_026686701.1|KFB67720.1|EXI77606.1|KFB68460.1|WP_121240971.1|WP_043958486.1|WP_099407460.1|WP_120997741.1|WP_013803090.1|OJX35469.1|WP_083281205.1|RIX44646.1|WP_083293141.1|PZQ74733.1|WP_124961768.1|WP_005670933.1|WP_084652092.1|ETK39847.1|WP_084173694.1|WP_102770819.1|WP_088179356.1|PKO35889.1|WP_079434285.1|WP_079436222.1|WP_084019513.1|WP_106747657.1|PWT95088.1|WP_088280307.1|OYV32593.1|WP_079433649.1|PHM18746.1|WP_079433327.1|PKO34638.1|WP_026686252.1|PZR31861.1|WP_046134690.1|WP_077033477.1|WP_079433326.1|CCD40799.1|KYP10271.1|KPP96145.1|WP_136386246.1|WP_015878143.1|EYU06092.1|WP_129572018.1|WP_104801476.1|RTL28737.1|WP_121459512.1|WP_075585271.1|RIX46745.1|WP_011238311.1|WP_015434924.1|WP_079436023.1|ABX34483.1|TEX48482.1|WP_110528740.1|WP_018410904.1|WP_079433563.1	nucleotide binding	124	1.4701	0.0018	Cr
WP_106748216.1	MAG-204	GO:0000413	GO:0000413	0.9863	0.7779	0.1882	0.9943	KFB72008.1|WP_106748216.1|WP_110524390.1|WP_011286681.1|WP_012204423.1|WP_028994551.1|WP_062352370.1|PKO56818.1|WP_069039958.1|WP_070528534.1|PKO37626.1|WP_121583408.1|WP_124542996.1|WP_058456194.1|KMY86703.1|WP_121276134.1|WP_079416027.1	protein peptidyl-prolyl isomerization	17	1.5008	0.0137	Cr
PZQ20775.1	MAG-164	GO:0006826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cr
