protein	IPR	GO	Pfam	Interproscan_annotation	
WP_014331664.1	IPR025997	-	PF13407	Periplasmic binding protein	
custom_1387091_7	IPR006059	-	PF01547	Bacterial extracellular solute-binding protein	
custom_402855_10	IPR001179	GO:0003755	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase domain	
custom_402855_10	IPR001179	GO:0003755	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase domain	
custom_922561_2	IPR013546	GO:0016779	PF08335	PII-uridylyltransferase/Glutamine-synthetase adenylyltransferase	
custom_922561_2	IPR006674	-	PF01966	HD domain	
custom_1718863_62	IPR006158	GO:0031419|GO:0046872	PF02310	Cobalamin (vitamin B12)-binding domain	Reactome: R-HSA-196741
custom_1718863_62	IPR006099	GO:0016866|GO:0031419	PF01642	"Methylmalonyl-CoA mutase, alpha/beta chain, catalytic"	Reactome: R-HSA-196741|Reactome: R-HSA-3359475|Reactome: R-HSA-3359478|Reactome: R-HSA-71032
custom_2446259_7	IPR022813	-	PF02355	"Protein-export membrane protein SecD/SecF, archaeal and bacterial"	
custom_2446259_7	IPR027398	-	PF13721	SecD export protein N-terminal TM domain	
custom_2446259_7	IPR022646	-	PF07549	"Protein-export membrane protein SecD/SecF/SecDF, conserved site"	
WP_092051701.1	IPR014826	GO:0016051|GO:0016840	PF08714	Formaldehyde-activating enzyme	KEGG: 00030+4.1.2.43|KEGG: 00680+4.2.1.147+4.1.2.43|MetaCyc: PWY-1723|MetaCyc: PWY-1861|MetaCyc: PWY-7796
custom_1012869_3	IPR023798	-	PF00177	Ribosomal protein S7 domain	
custom_988766_3	IPR000917	GO:0008484	PF00884	"Sulfatase, N-terminal"	
WP_112599519.1	IPR025997	-	PF13407	Periplasmic binding protein	
WP_102612008.1	IPR008332	GO:0003908|GO:0006281	PF02870	"Methylguanine DNA methyltransferase, ribonuclease-like domain"	Reactome: R-HSA-5657655
WP_102612008.1	IPR014048	GO:0003824|GO:0006281	PF01035	"Methylated-DNA-[protein]-cysteine S-methyltransferase, DNA binding"	Reactome: R-HSA-5657655
WP_102612008.1	IPR004026	GO:0003677|GO:0006281|GO:0006355|GO:0008168|GO:0008270	PF02805	"Ada DNA repair, metal-binding"	
WP_102612008.1	IPR018060	GO:0003700|GO:0006355|GO:0043565	PF12833	"DNA binding HTH domain, AraC-type"	
