genome	completeness	contamination	quality	5S_rRNA	SSU_rRNA	LSU_rRNA	tRNA	MIMAG_quality	GC	N50	size	gtdb.tax	ncbi.tax	LDA.group	LDA.score	LDA.p	AMO	HAO	NXR	NAP	NAR	NAS	NIR	PPK1	PPK2	PPX	protein.num	Cd_O_coverM	Ni_O_coverM	Cr_O_coverM	Cd_L_1_coverM	Cd_L_2_coverM	Cd_L_3_coverM	Cd_M_1_coverM	Cd_M_2_coverM	Cd_M_3_coverM	Cd_H_1_coverM	Cd_H_2_coverM	Cd_H_3_coverM	Ni_L_1_coverM	Ni_L_2_coverM	Ni_L_3_coverM	Ni_M_1_coverM	Ni_M_2_coverM	Ni_M_3_coverM	Ni_H_1_coverM	Ni_H_2_coverM	Ni_H_3_coverM	Cr_L_1_coverM	Cr_L_2_coverM	Cr_L_3_coverM	Cr_M_1_coverM	Cr_M_2_coverM	Cr_M_3_coverM	Cr_H_1_coverM	Cr_H_2_coverM	Cr_H_3_coverM	CK_1_coverM	CK_2_coverM	CK_3_coverM	s6_coverM	s14_coverM	s15_coverM	s26_coverM	Cd_O	Ni_O	Cr_O	Cd_L_1	Cd_L_2	Cd_L_3	Cd_M_1	Cd_M_2	Cd_M_3	Cd_H_1	Cd_H_2	Cd_H_3	Ni_L_1	Ni_L_2	Ni_L_3	Ni_M_1	Ni_M_2	Ni_M_3	Ni_H_1	Ni_H_2	Ni_H_3	Cr_L_1	Cr_L_2	Cr_L_3	Cr_M_1	Cr_M_2	Cr_M_3	Cr_H_1	Cr_H_2	Cr_H_3	CK_1	CK_2	CK_3	s6	s14	s15	s26
MAG-1	96.62	2.066	86.29	Absent	Absent	Absent	20	Medium	0.664	98998	3519692	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__;f__Opitutaceae;g__;s__	Cr	3.07889094	5.24E-06	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	0	0.005158477	0.00409882	0.008680856	0.003435375	0.003671847	0.004057114	0.001648579	0.001964803	0.002112901	9.76E-04	0.001333231	0.00111026	0.001442789	0.001391119	0.001239093	0.001270972	0.001376854	0.00114392	7.09E-04	7.24E-04	7.45E-04	0.058112442	0.025442984	0.025737047	0.19221924	0.1989423	0.19895683	0.23736478	0.20697765	0.20880617	0.007027474	0.004372915	0.003039874	0.009745201	0.00223245	0.001455479	0.002616191	0.285597	0.213269	0.47263	0.153506	0.156013	0.176543	0.096592	0.101401	0.128903	0.049885	0.04817	0.049323	0.063922	0.043129	0.053731	0.055373	0.058943	0.051819	0.016271	0.02	0.014177	2.072229	1.007018	1.032016	6.163492	6.450678	6.503276	6.839563	6.519003	6.701543	0.551315	0.200699	0.132782	0.355049	0.1257	0.069924	0.129254
MAG-2	91.89	2.837	77.705	Present	Present	Present	19	High	0.693	60297	3545358	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__;f__Opitutaceae;g__;s__	Cr	2.818833427	8.45E-06	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	0	0.002664298	0.003207364	0.002373593	0.001989969	0.002007406	0.001955983	0.00407423	0.004605991	0.004714655	0.003096101	0.003301738	0.003112508	9.99E-04	8.54E-04	8.84E-04	0.001182241	0.001326252	0.001201781	4.72E-04	4.82E-04	5.27E-04	0.2020029	0.004958994	0.00540413	0.094167866	0.109802134	0.108482726	0.08436802	0.07730092	0.07724288	0.002948952	0.001554758	0.04691891	0.001579215	0.003418376	0.001682255	0.08871888	0.124644	0.116929	0.143596	0.110438	0.077294	0.086613	0.14836	0.174681	0.181098	0.11191	0.127575	0.123098	0.024999	0.03532	0.018151	0.042526	0.049138	0.059305	0.008817	0.009415	0.013194	6.831391	0.18663	0.191664	3.02002	3.655729	3.639838	2.51996	2.522313	2.559468	0.177333	0.088182	1.45095	0.045293	0.149706	0.06835	3.668208
MAG-3	91.75	3.082	76.34	Present	Present	Absent	20	Medium	0.646	89434	6445199	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__UBA6669;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__;f__Opitutaceae;g__;s__	Cr	3.277997967	1.55E-05	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	0	0.0306435	0.04080026	0.03256489	0.0230924	0.019472789	0.020439915	0.00218648	0.00242913	0.00233743	7.17E-04	6.81E-04	6.56E-04	0.024737516	0.024516394	0.024413686	0.01492977	0.01421917	0.014042963	0.002783939	0.002511544	0.002704208	0.63502276	0.3425535	0.34842068	0.36548638	0.20887394	0.20429535	0.08095545	0.06572039	0.06303615	0.02621004	0.017138766	0.06319287	0.108920686	0.009237881	0.033345927	0.053429753	1.350092	1.880746	1.382364	0.761068	0.692233	0.719666	0.063014	0.085851	0.080061	0.022512	0.023947	0.019572	0.769219	0.779966	0.760568	0.470123	0.53527	0.509688	0.087973	0.071052	0.084768	21.84865	12.805653	12.768087	11.477187	6.970769	6.68879	2.406604	2.123244	2.074989	1.428471	0.653261	1.939963	3.609072	0.290139	1.067681	2.181941
MAG-4	83.76	3.082	68.35	Absent	Present	Absent	20	Medium	0.637	13023	6776044	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__UBA6669;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__;f__Opitutaceae;g__;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	1	0.010219185	0.015240369	0.008149034	0.03035834	0.02790134	0.02844211	0.007234219	0.008209911	0.008089371	7.96E-04	7.41E-04	8.77E-04	0.001504469	0.001502823	0.001511109	8.47E-04	7.82E-04	9.52E-04	2.76E-04	3.06E-04	3.13E-04	0.16298829	0.058941945	0.059546817	0.06685929	0.06453577	0.063512996	0.004830447	0.004527995	0.004426618	0.011490189	0.008575645	0.010072255	0.015414928	0.027525311	0.004421727	0.04884924	0.427609	0.686477	0.334508	1.029498	0.998815	1.010344	0.227952	0.248696	0.270664	0	0	0	0.035642	0.02966	0.028902	0	0	0	0	0	0	5.773513	2.222868	2.184547	2.156455	2.171308	2.113029	0.122813	0.125889	0.132285	0.635486	0.311773	0.294868	0.504685	0.877834	0.135482	1.956027
MAG-5	91.56	3.122	75.95	Absent	Absent	Absent	19	Medium	0.677	12465	6600109	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__;f__Opitutaceae;g__;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	0	0.019779647	0.020401685	0.016247662	0.005597159	0.005698242	0.005428419	0.00499081	0.005286288	0.005113906	3.06E-04	3.32E-04	2.65E-04	0.05594276	0.056053538	0.055108532	0.017286474	0.01950045	0.019214576	0.004248311	0.003819204	0.004215398	0.05426947	0.08611432	0.08743397	0.020556998	0.02319194	0.023326619	0.003405116	0.003085408	0.003005287	0.017369553	0.004870109	8.84E-04	0.15356086	0.003850638	0.03242792	9.79E-04	0.936319	1.030462	0.758033	0.197128	0.206357	0.206703	0.1658685	0.173289	0.170239	0	0	0	1.778516	1.840868	1.774371	0.568311	0.733442	0.713567	0.117312	0.101012	0.118925	1.973176	3.355506	3.316679	0.704351	0.818366	0.811251	0.088056	0.08184	0.079854	1.042368	0.184104	0.037938	5.239307	0.137056	1.021885	0
MAG-6	93.15	1.369	86.305	Absent	Absent	Absent	17	Medium	0.678	16021	5527569	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__;f__Opitutaceae;g__;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	1	0.032730997	0.030471712	0.035162836	0.11190367	0.110542014	0.10806544	0.07173669	0.08446637	0.08416868	4.25E-04	3.31E-04	3.22E-04	0.014293277	0.014276164	0.013970369	0.028785292	0.030871075	0.029470772	0.011545092	0.010706775	0.01148172	0.002722621	0.002474846	0.002114388	0.00295915	0.002901866	0.00272438	1.00E-03	0.001013981	0.001016154	0.023460308	0.057577457	0.002257687	0.001374466	0.091350846	0.024394045	7.40E-04	1.470298	1.468928	1.507018	3.787275	3.904753	3.866812	2.230106	2.779308	2.801496	0	0	0	0.454455	0.483036	0.459714	0.982802	1.187444	1.116316	0.378736	0.379169	0.389954	0.103671	0.117788	0.078125	0.123665	0.118157	0.114794	0	0	0	1.318056	2.140719	0.087349	0.043385	2.946957	0.811844	0.029433
MAG-7	99.31	5.068	73.97	Present	Present	Present	20	Medium	0.662	452445	6122566	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__;f__Opitutaceae;g__;s__	CK	3.872722135	0.0063611	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	0	1.0129384	2.1870205	0.79126054	0.088098444	0.09262581	0.09034167	0.008570833	0.00947196	0.009682951	5.56E-04	5.35E-04	5.77E-04	0.16040938	0.16118838	0.1604821	0.017858129	0.021866232	0.021337729	0.00285675	0.002818144	0.002998071	0.004447327	0.003027255	0.003173952	0.003808118	0.003444078	0.003746293	0.001129787	9.99E-04	0.001025784	1.8364424	0.29635677	0.004450019	0.00535098	0.011532428	0.035828296	0.001587591	44.566378	104.497807	33.600976	2.861481	3.167099	3.132414	0.219172	0.272022	0.233203	0.032735	0.032455	0.04086	5.078304	5.429444	5.116739	0.607481	0.845994	0.76014	0.081859	0.079918	0.080988	0.175623	0.162385	0.148701	0.178326	0.179215	0.202087	0.034353	0.040598	0.059391	102.168334	10.946864	0.148286	0.188312	0.290206	1.194401	0.063561
MAG-8	97.29	0.675	93.915	Absent	Absent	Absent	20	Medium	0.65	21898	5873719	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA9464;g__;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__;g__;s__	CK	2.904802214	8.29E-04	Absent	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	0	0.12872638	0.09513649	0.0946499	0.07600095	0.07714423	0.07742294	0.015535422	0.018622704	0.018247526	2.76E-04	2.79E-04	2.67E-04	0.007127422	0.007649834	0.007141437	0.016688	0.009984099	0.010301688	6.73E-04	5.98E-04	7.00E-04	0.001482212	0.001083201	0.001024331	5.86E-04	5.44E-04	5.97E-04	5.12E-04	5.69E-04	6.20E-04	0.06341793	0.14913194	0.025167536	3.64E-04	0.031722277	0.045930207	0.012234632	5.66186	4.588269	4.021725	2.516763	2.685966	2.709531	0.476321	0.61561	0.606008	0	0	0	0.227297	0.274876	0.236045	0.634881	0.423629	0.428544	0.020405	0	0.016897	0.058353	0.039764	0.028848	0.012434	0	0.012657	0.009672	0	0.011335	3.564423	5.418281	0.781932	0	0.991301	1.505334	0.47979
MAG-9	99.32	3.378	82.43	Present	Present	Present	21	High	0.592	74745	8695210	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11320;g__UBA11320;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__;g__;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	0	0.120197825	0.13078615	0.0870891	0.084808975	0.08162445	0.082386516	0.04690634	0.044618845	0.044336412	3.94E-04	4.09E-04	4.17E-04	0.063993566	0.06676134	0.06998161	0.002910496	0.003068288	0.003138477	0	0	0	4.41E-04	5.57E-04	6.01E-04	3.54E-04	3.36E-04	2.48E-04	1.83E-04	0	0	0.030830804	0.056429993	0.019919602	2.78E-04	0.053945735	0.019938719	0.013367616	5.06195	5.955886	3.568406	2.738918	2.704121	2.797261	1.416838	1.423153	1.467174	0	0	0	1.896987	2.040431	2.050265	0.036447	0.064578	0.060889	0	0	0	0	0	0	0	0	0	0	0	0	1.656721	1.947354	0.575752	0	1.637198	0.589299	0.53789
MAG-10	65.47	2.394	53.5	Absent	Absent	Absent	13	Medium	0.666	3640	4069866	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11320;g__;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__;g__;s__	-	-	-	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	0	0.039469842	0.07174036	0.031368684	0.061821144	0.055459987	0.055744626	0.002875935	0.00325669	0.003502401	0	0	0	0.017339721	0.016182408	0.016247401	3.65E-04	3.98E-04	4.12E-04	0	0	0	0.008204686	0.002602665	0.002725054	0.005373564	0.004603703	0.004921416	2.84E-04	2.14E-04	3.10E-04	0.003171357	0.02626956	0.003211339	2.01E-04	0.058791745	0.003580708	0.003561402	1.922521	3.77319	1.469846	2.239773	2.032327	2.069982	0	0	0	0	0	0	0.588364	0.529561	0.527599	0	0	0	0	0	0	0.267727	0	0	0.150935	0.096617	0.132613	0	0	0	0	1.070675	0	0	2.044674	0.113199	0.077476
