protein	KO	enrichM_annotation
BAB16757.1	K02406	fliC; flagellin
custom_2466343_5	K14028	"mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]"
CAI08635.1	K09007	folE2; GTP cyclohydrolase IB [EC:3.5.4.16]
AAZ47133.1	K01991	"wza, gfcE; polysaccharide biosynthesis/export protein"
AAZ98421.1	K03737	"por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]"
ABB07102.1	K00266	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
custom_1339125_66	K03561	exbB; biopolymer transport protein ExbB
custom_2051367_70	K07287	bamC; outer membrane protein assembly factor BamC
custom_1678487_18	K06207	"typA, bipA; GTP-binding protein"
custom_896917_3	K03594	bfr; bacterioferritin [EC:1.16.3.1]
EJM75617.1	K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
custom_1206307_2	K02926	"RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
custom_1440054_34	K02358	"tuf, TUFM; elongation factor Tu"
custom_2251287_7	K00024	mdh; malate dehydrogenase [EC:1.1.1.37]
custom_2502644_8	K02884	"RP-L19, MRPL19, rplS; large subunit ribosomal protein L19"
custom_1129766_10	K01507	ppa; inorganic pyrophosphatase [EC:3.6.1.1]
custom_195406_5	K13993	HSP20; HSP20 family protein
WP_003073764.1	K15726	"czcA, cusA, cnrA; heavy metal efflux system protein"
WP_004180305.1	K04077	"groEL, HSPD1; chaperonin GroEL"
WP_004251980.1	K01940	"argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]"
WP_004252965.1	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
custom_2279167_7	K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
custom_1532563_2	K15371	GDH2; glutamate dehydrogenase [EC:1.4.1.2]
custom_2522226_20	K00382	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
WP_004332251.1	K01596	"E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
custom_1372527_4	K00262	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
custom_820607_4	K15371	GDH2; glutamate dehydrogenase [EC:1.4.1.2]
custom_908300_7	K01965	"PCCA, pccA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]"
custom_2061993_5	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"
WP_006162812.1	K02012	"afuA, fbpA; iron(III) transport system substrate-binding protein"
custom_2079751_15	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
WP_008833873.1	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein
custom_712779_22	K10552	frcB; fructose transport system substrate-binding protein
WP_008906206.1	K01679	"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]"
WP_009207133.1	K02669	pilT; twitching motility protein PilT
custom_1838831_5	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
custom_1369667_4	K17321	glpV; glycerol transport system substrate-binding protein
custom_1256470_18	K00262	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
custom_1003884_2	K02965	"RP-S19, rpsS; small subunit ribosomal protein S19"
