protein	ontology
EYU06092.1	1MU08
OJX35469.1	1MU08
WP_013803090.1	1MU08
WP_079436222.1	1MU08
WP_083281205.1	1MU08
WP_084019513.1	1MU08
WP_104801476.1	1MU08
RTL15944.1	1MV0X
RTL36445.1	1MV0X
WP_004374157.1	1MV0X
WP_011286820.1	1MV0X
WP_027457926.1	1MV0X
WP_062352072.1	1MV0X
WP_072598857.1	1MV0X
WP_082007526.1	1MV0X
WP_084651312.1	1MV0X
WP_127996013.1	1MV0X
KJS19400.1	1MV8A
WP_009553167.1	1MV8A
WP_012202962.1	1MV8A
WP_092298750.1	1MV8A
WP_117178120.1	1MV8A
WP_119270944.1	1MV8A
WP_119751930.1	1MV8A
WP_133703463.1	1MV8A
ACV34416.1	1N6EM
EXI89540.1	1N6EM
EXI89542.1	1N6EM
EXI92924.1	1N6EM
KFB66372.1	1N6EM
KFB71000.1	1N6EM
KFB75399.1	1N6EM
PKP87007.1	1N6EM
RTL03953.1	1N6EM
SBT09970.1	1N6EM
WP_004252965.1	1N6EM
WP_004303499.1	1N6EM
WP_011766315.1	1N6EM
WP_026685518.1	1N6EM
WP_079434031.1	1N6EM
WP_110524092.1	1N6EM
WP_132570931.1	1N6EM
WP_011286681.1	1R9ZQ
WP_106748216.1	1R9ZQ
WP_121276134.1	1R9ZQ
EXI84053.1	1RD4A
KNZ33274.1	1RD4A
WP_055670085.1	1RD4A
WP_102041148.1	1RD4A
WP_111434294.1	1RD4A
WP_121456722.1	1RD4A
EKE18052.1	2TQP8
OJX70055.1	2TQP8
TJW70054.1	2TQP8
WP_008494540.1	2TQP8
WP_034743456.1	2TQP8
WP_093509984.1	2TQP8
WP_115934849.1	2TQP8
ACV34416.1	2VM27
EXI89540.1	2VM27
EXI89542.1	2VM27
EXI92924.1	2VM27
KFB66372.1	2VM27
KFB71000.1	2VM27
KFB75399.1	2VM27
RTL03953.1	2VM27
SBT09970.1	2VM27
WP_004252965.1	2VM27
WP_004303499.1	2VM27
WP_011766315.1	2VM27
WP_026685518.1	2VM27
WP_079434031.1	2VM27
WP_110524092.1	2VM27
WP_132570931.1	2VM27
OJX12888.1	GO:0000049
WP_011238311.1	GO:0000049
WP_015434924.1	GO:0000049
WP_062537947.1	GO:0000049
WP_079434900.1	GO:0000049
WP_107493691.1	GO:0000049
WP_110526395.1	GO:0000049
WP_110528740.1	GO:0000049
WP_119781840.1	GO:0000049
WP_121459512.1	GO:0000049
AJP47391.1	GO:0000166
EYU06092.1	GO:0000166
KFB67720.1	GO:0000166
KFB67721.1	GO:0000166
KPP96145.1	GO:0000166
OGT10716.1	GO:0000166
OIP11015.1	GO:0000166
OJX12888.1	GO:0000166
OJX35469.1	GO:0000166
OYV32593.1	GO:0000166
PHM18746.1	GO:0000166
PKO36808.1	GO:0000166
PZR31861.1	GO:0000166
RTL28737.1	GO:0000166
WP_011238311.1	GO:0000166
WP_012204833.1	GO:0000166
WP_012334624.1	GO:0000166
WP_013803090.1	GO:0000166
WP_015434924.1	GO:0000166
WP_018410904.1	GO:0000166
WP_035606034.1	GO:0000166
WP_046134690.1	GO:0000166
WP_050414481.1	GO:0000166
WP_062537947.1	GO:0000166
WP_077033477.1	GO:0000166
WP_079433326.1	GO:0000166
WP_079433563.1	GO:0000166
WP_079436222.1	GO:0000166
WP_079437052.1	GO:0000166
WP_083281205.1	GO:0000166
WP_084019513.1	GO:0000166
WP_099407460.1	GO:0000166
WP_104801476.1	GO:0000166
WP_107493691.1	GO:0000166
WP_110526395.1	GO:0000166
WP_110528740.1	GO:0000166
WP_120997741.1	GO:0000166
WP_121459426.1	GO:0000166
WP_121459512.1	GO:0000166
WP_126446303.1	GO:0000166
WP_011286681.1	GO:0000413
WP_106748216.1	GO:0000413
WP_121276134.1	GO:0000413
OJX12888.1	GO:0002161
OLE54048.1	GO:0002161
PKO36808.1	GO:0002161
RTL28737.1	GO:0002161
WP_035606034.1	GO:0002161
WP_062537947.1	GO:0002161
WP_077033477.1	GO:0002161
WP_079437052.1	GO:0002161
WP_107493691.1	GO:0002161
WP_110526395.1	GO:0002161
AZO53005.1	GO:0005886
KXK12513.1	GO:0005886
WP_012204065.1	GO:0005886
WP_088280496.1	GO:0005886
WP_106572617.1	GO:0005886
WP_116622085.1	GO:0005886
ABX33534.1	GO:0006826
PKO86249.1	GO:0006826
PZP50757.1	GO:0006826
PZQ20775.1	GO:0006826
TEX44224.1	GO:0006826
WP_012206872.1	GO:0006826
WP_046849919.1	GO:0009228
WP_083447735.1	GO:0009228
RIX42988.1	GO:0015344
RTL36445.1	GO:0015344
WP_004374157.1	GO:0015344
WP_005401812.1	GO:0015344
WP_011286820.1	GO:0015344
WP_011485651.1	GO:0015344
WP_027457926.1	GO:0015344
WP_052433592.1	GO:0015344
WP_056667571.1	GO:0015344
WP_072598857.1	GO:0015344
WP_082007526.1	GO:0015344
WP_084651312.1	GO:0015344
WP_094285823.1	GO:0015344
RIX42988.1	GO:0015891
RTL36445.1	GO:0015891
WP_004374157.1	GO:0015891
WP_005401812.1	GO:0015891
WP_011286820.1	GO:0015891
WP_011485651.1	GO:0015891
WP_027457926.1	GO:0015891
WP_052433592.1	GO:0015891
WP_056667571.1	GO:0015891
WP_072598857.1	GO:0015891
WP_082007526.1	GO:0015891
WP_084651312.1	GO:0015891
WP_094285823.1	GO:0015891
KFB71020.1	GO:0016787
KFB75511.1	GO:0016787
